athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Alex Meyer,USA,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,23279.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,23465.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomi Stefanovski,MKD,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,23968.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,FRA,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,24057.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,24102.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,24433.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Venturi,ITA,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,24651.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,CAN,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,24662.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,24740.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Pouliot,CAN,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,25547.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Pastor,GER,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,26562.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Theroux,CAN,06/30/2016,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,16.0,29031.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
