athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Bruce Hanson Almeida,BRA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3468.2,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3468.4,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaehun Park,KOR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3469.5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Cardoso,POR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3469.7,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng-Chi Cho,TPE,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3471.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaitotsujimori,JPN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3497.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lev Cherepanov,KAZ,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3501.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianchen Lan,CHN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3524.7,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riku Ezawa,JPN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3580.6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Peciar,SVK,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3581.7,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diego Vera,VEN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3581.9,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Bayo,PUR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3584.4,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergii Frolov,UKR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3599.5,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Gustavo Ywanaga Papi,PER,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3608.1,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziv Cohen,ISR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3610.6,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theo Druenne,MON,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3614.6,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rui Meng,CHN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3658.8,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamarr Andre Bruno,PUR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3661.9,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grgo Mujan,CRO,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3669.6,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximiliano Paccot,URU,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,71.0,3669.7,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
