athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Bailey Armstrong,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthias Schweinzer,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thore Bermel,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Pielowski,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yann Corbel,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Bryan,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attila Kiss,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Brantu,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepijn Smits,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Snitko,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volodymyr Voronko,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pol Gil,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Arroyo,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farid Zitouni,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adel Elbehiry,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Patrick Robinson,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Johansson,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Santiago Betancor,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Chopineau,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Billiau,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denis Adeev,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Graeme Edwards,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentin Bernard,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Karas,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomi Stefanovski,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Hegazy,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Hossameldeen Khalil Hossameldeen,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corentin Rabier,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marwan Elamrawy,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenessary Kenenbayev,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaias Vasquez Tavera,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Yin Kwan,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timur Abzhanov,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chun Hin Hui,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singha Chau,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Yat Winson Lee,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulla Ali Hatim Ali Murad Albalooshi,,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,81.0,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
