athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Lupeng Liu,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5640.7,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiabao An,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5720.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyang Zhang,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5776.7,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremias Munoz,ARG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5854.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katelnikof Alexander Dawson,CAN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5866.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziao Qiu,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,5924.3,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ching Leung Sunny Poon,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6236.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zibin Zhang,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6276.5,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenhao Wang,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6291.9,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Fung Tse,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6297.4,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Ho Tsang,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6307.3,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ka Lung Kwan,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6309.9,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chung Kiu Yau,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6317.7,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Hin Chan,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6326.2,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jingwei Weng,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6425.9,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chak Fung Lam,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6541.6,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lok Yin Law,HKG,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6542.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Lidu,CHN,10/15/2017,FINA World Cup,"Chun'An, CHN",10.0,NW,Neutral,49.0,6605.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
