athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Franco Ivo Cassini,ARG,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6384.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillem Pujol,ESP,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6386.9,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Melecchi,BRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6388.3,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6389.4,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Manzi,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6392.6,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Delgadillo,MEX,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6392.7,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Hughes,GBR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6395.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Brinegar,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6398.4,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Hedlin,CAN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6400.2,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Brown,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6400.3,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandro Puebla Martinez,ESP,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6403.3,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert George Thorpe,AUS,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6403.6,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernardo Gavioli,BRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6406.4,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Gravley,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6420.7,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Tepper,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6435.2,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Gravley,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6478.4,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piotr Wozniak,POL,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6493.8,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fares Zitouni,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6494.2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atakan Ercan,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6501.1,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Ellis,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6536.5,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Schreiber,SUI,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6594.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Vanhuys,BEL,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6595.8,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Galicz,HUN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6595.9,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Manteufel,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6597.8,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartosz Kapala,POL,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6599.6,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Lamar,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6600.6,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Furlan,ITA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6607.1,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberto Martinez,ESP,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6608.9,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Alcivar,ECU,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6615.9,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Cardoso,POR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6616.3,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matej Kozubek,CZE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6616.8,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterios Daldogiannis,GRE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6618.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Gutierrez,MEX,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6618.8,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arshak Hambardzumyan,HUN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6630.4,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ioannis Skaris,GRE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6630.5,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Jervis,GBR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6646.7,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Peterlin,SLO,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6688.2,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ido Gal,ISR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6718.5,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin Debril,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6721.9,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunor Kovacs-Seres,HUN,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6805.4,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheng-Chi Cho,TPE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6864.8,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Parker,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6904.6,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emre Sarp Zeytinoglu,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6908.5,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vojislav Sterba,CZE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6921.5,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondrej Zach,CZE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,6924.8,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christophe Maleau,FRA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7001.7,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artyom Lukasevits,SGP,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7045.2,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhammed Eyup Oya,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7058.5,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Heron,USA,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7130.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burhanettin Hacisagir,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7160.1,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelos Christodoulou,GRE,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7200.6,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mevlut Efe Guler,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7206.5,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boran Atasoy,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7407.5,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdulaziz Oruc,TUR,12/02/2023,FINA World Cup,"Funchal, POR",10.0,NW,Neutral,92.0,7527.4,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
