athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Angela Maurer,GER,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7204.62,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jieqiao Yang,CHN,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7216.97,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Bagley,AUS,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7222.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jana Pechanova,CZE,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7228.21,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olesya Shalygina,RUS,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7228.88,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trudee Hutchinson,AUS,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7229.68,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linsy Heister,NED,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7230.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie-Leigh Austin,AUS,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7231.99,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wenrui Zhu,CHN,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7261.57,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danielai Nacio,POR,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7943.65,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirsten Cameron,NZL,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,7958.07,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natasha Tang,HKG,10/07/2007,FINA World Cup,"Singapore, SGP",10.0,NW,Neutral,12.0,8126.4,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
