athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Angela Maurer,GER,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8108.22,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britta Kamrau-Corestein,GER,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8116.44,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Uvarova,RUS,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8151.43,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliana Okimoto Cintra,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8325.44,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Burden Shaw,USA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8400.91,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8400.99,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilar Geijo,ARG,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8410.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Volpi,ITA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,8946.49,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monick Avelino Perez,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,9424.41,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliana Tiemy Tanaka,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,9602.65,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernanda Reis Marinho,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,9624.61,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmaa Katarya,EGY,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,9657.07,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juliana Ranches,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,9881.82,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liz Jandui Soares Baptista,BRA,01/26/2007,FINA World Cup,"Santos, BRA",10.0,NW,Neutral,15.0,9900.51,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
