athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Nora Naessens,BEL,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3689.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Six,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3690.2,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilona Maille,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3693.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen Olsson,SWE,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3696.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Onolfo,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3734.9,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celia Heurtaux,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3735.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilie Cahuzac,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3735.2,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marina Castro Atalaya,ESP,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3735.3,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adeline Furst,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3747.4,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaux Guillaume,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3747.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Burycz,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3748.6,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caroline Laure Jouisse,FRA,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3750.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaylee De Jong,NED,05/31/2018,LEN Cup,"Gravelines, FRA",5.0,NW,Neutral,81.0,3750.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
