athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Vasiliki Kadoglu,BUL,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7673.96,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiia Kostyleva,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7678.97,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polina Kharitonova,RUS,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7689.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elise Houllier,FRA,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7725.02,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karolina Balazikova,SVK,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7828.01,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen Mikusova,SVK,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7898.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen Olsson,SWE,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7941.02,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emilia Sansome,GBR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,7960.98,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryna Kyryk,UKR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8021.98,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Sebestova,CZE,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8364.99,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avital Flishman,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8366.98,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tal Ashkenazi,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8371.04,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orian Gablan,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8432.04,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agathe Henry,FRA,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8556.02,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Shlegel,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8627.99,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofir Rabina,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,8904.04,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shira Elbazis,ISR,03/31/2019,LEN Cup,"Eilat, ISR",10.0,NW,Neutral,51.0,9056.02,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
