athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Minami Niikura,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7304.4,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spela Perse,SLO,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7351.5,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloe Gubecka,AUS,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7353.7,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Claro Martinez,ESP,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7355.4,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mira Szimcsak,HUN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7356.2,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Tou,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7404.2,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayley Pike,USA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7408.4,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runa Kasahara,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7410.9,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Li-Shan Chantal Liew,SGP,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7411.3,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvia Ciccarella,ITA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7411.6,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Vilas,ESP,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7612.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krystyna Panchishko,UKR,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7636.9,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen Olsson,SWE,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7641.8,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celia Heurtaux,FRA,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7648.1,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuen Koike,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7658.7,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasiliki Kadoglu,BUL,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7661.9,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petra Mijic,CRO,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7754.8,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mia Yamamoto,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7814.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitomi Okamura,JPN,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7872.5,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucie Zubalikova,CZE,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7904.5,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leona Coha,CRO,02/15/2020,FINA World Cup,"Doha, QAT",10.0,NW,Neutral,53.0,7979.3,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
