athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Paula Ruiz Bravo,ESP,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7013.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Brazier,AUS,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7015.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alena Benesova,CZE,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7017.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souad Nefissa Cherouati,ALG,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7018.5,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xeniya Romanchuk,KAZ,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7018.6,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betina Lorscheitter,BRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7018.7,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikoletta Kiss,HUN,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7020.9,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeannette Spiwoks,GER,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7126.5,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Pou,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7129.6,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michelle Weber,RSA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7129.7,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Judith Navarro Silvestre,ESP,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7228.7,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Bonnet,BEL,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7292.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Andre,POR,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7355.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloe Gubecka,AUS,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7439.1,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vania Neves,POR,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7488.3,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lila Langlais,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7658.6,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claire Six,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7735.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inis Idier,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7743.1,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celeste Vereecke,FRA,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7743.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Yin Nip,HKG,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7768.3,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac Tung Nikita Lam,HKG,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,7990.2,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Hang Fung Li,HKG,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,8280.3,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikitha Setru Venugopal,IND,03/11/2017,FINA World Cup,"Abu Dhabi, UAE",10.0,NW,Neutral,54.0,8430.2,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
