athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Lea Boy,GER,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7336.37,1.0,1459.91,2930.69,4429.08,5905.23,7336.37,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7340.21,2.0,1472.93,2927.04,4432.53,5901.09,7340.21,,,,,,,,,,,,,,,,,,,,,,,,,
Bettina Fábián,HUN,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7340.71,3.0,1462.11,2936.53,4437.31,5913.15,7340.71,,,,,,,,,,,,,,,,,,,,,,,,,
Lara Grangeon De Villele,FRA,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7343.43,4.0,1458.99,2928.6,4431.94,5902.41,7343.43,,,,,,,,,,,,,,,,,,,,,,,,,
Silvia Ciccarella,ITA,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7345.19,5.0,1463.7,2935.96,4434.25,5904.08,7345.19,,,,,,,,,,,,,,,,,,,,,,,,,
Leah Crisp,GBR,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7346.85,6.0,1462.69,2929.55,4427.09,5908.79,7346.85,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Fabian,ISR,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7352.42,7.0,1463.54,2931.64,4433.85,5911.1,7352.42,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Chloe Keegan,GBR,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7352.84,8.0,1465.55,2932.52,4435.1,5909.95,7352.84,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Santoni,ITA,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7356.1,9.0,1463.09,2935.8,4433.2,5908.04,7356.1,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie Callo,ITA,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7444.87,10.0,1465.83,2934.02,4436.16,5915.31,7444.87,,,,,,,,,,,,,,,,,,,,,,,,,
Nefeli Evangelia Giannopoulou,GRE,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7465.91,11.0,1468.28,2933.96,4437.91,5916.47,7465.91,,,,,,,,,,,,,,,,,,,,,,,,,
Elena Tortora,ITA,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7626.65,12.0,1469.2,2940.72,4440.23,5930.58,7626.65,,,,,,,,,,,,,,,,,,,,,,,,,
Eden Girloanta,ISR,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,7788.51,13.0,1469.84,2938.64,4438.94,6069.86,7788.51,,,,,,,,,,,,,,,,,,,,,,,,,
Matea Sumajstorcic,CRO,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,8014.73,14.0,1499.86,3100.96,4733.43,6369.23,8014.73,,,,,,,,,,,,,,,,,,,,,,,,,
Orian Gablan,ISR,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,8224.19,15.0,1471.57,3020.15,4701.98,6446.64,8224.19,,,,,,,,,,,,,,,,,,,,,,,,,
Helena Hvid Hansen,DEN,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,8272.92,16.0,1503.52,3128.51,4814.25,6545.71,8272.92,,,,,,,,,,,,,,,,,,,,,,,,,
Lilyana Georgieva,BUL,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,8272.98,17.0,1503.09,3127.78,4814.53,6546.6,8272.98,,,,,,,,,,,,,,,,,,,,,,,,,
Ivana Nedelkovska,MKD,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,8386.67,18.0,1612.05,3282.68,4976.22,6702.67,8386.67,,,,,,,,,,,,,,,,,,,,,,,,,
Jovana Nedelkovska,MKD,06/17/2023,LEN Cup,"Belgrade, SRB",10.0,NW,Neutral,20.0,8849.76,19.0,1626.42,3393.22,5212.79,7039.27,8849.76,,,,,,,,,,,,,,,,,,,,,,,,,
