athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Martha Sandoval,MEX,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3746.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey O'Regan,CAN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3747.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamees Elsokkary,EGY,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3748.1,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miku Kojima,JPN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3748.8,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaoming Ma,CHN,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3749.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alena Benesova,CZE,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3749.4,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeongmin Lee,KOR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3750.1,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hae Rim Lee,KOR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3753.9,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pac Tung Nikita Lam,HKG,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3754.7,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber Chloe Keegan,GBR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3755.5,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Beavon,RSA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3766.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klara Bosnjak,CRO,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3792.3,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alejandra Hoyos Horvath,MEX,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3955.5,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariya Fedotova,KAZ,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3957.4,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadine Karim,EGY,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,3959.2,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britta Schwengle,ARU,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4009.5,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orian Gablan,ISR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4017.1,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alondra Itzel Quiles,PUR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4034.4,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasiya Zelinskaya,UZB,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4035.9,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malak Meqdar,MAR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4036.2,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariela Guadamuro,PUR,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4232.8,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Porres,GUA,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4297.8,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rithika Mahesh,IND,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4343.2,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofie Frichot,SEY,07/18/2023,FINA World Championships,"Fukuoka, JPN",5.0,NW,Neutral,59.0,4426.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
