athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Poliana Okimoto Cintra,BRA,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6469.49,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Britta Kamrau-Corestein,GER,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6471.93,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Maurer,GER,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6473.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keri-Anne Payne,GBR,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6473.42,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martina Grimaldi,ITA,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6483.83,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olesya Shalygina,RUS,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6485.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Franco,ITA,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6485.9,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie Du Toit,RSA,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6489.72,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6491.39,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra Patten,GBR,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6516.4,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velia Janse Van Rensburg,RSA,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6517.91,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natasha Tang,HKG,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6535.65,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imelda Martinez,MEX,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6539.99,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Linsy Heister,NED,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6557.48,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odette Saldivar Massimi,MEX,09/23/2007,FINA World Cup,"Shantou, CHN",10.0,NW,Neutral,15.0,6862.77,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
