athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Alena Benesova,CZE,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7289.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessia Ossoli,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7300.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Micheletti,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7405.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Lenzi,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7417.4,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tayla Martin,AUS,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7421.8,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Lam Pac Tung,HKG,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7422.3,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenka Sterbova,CZE,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7434.4,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leah Degeorge,USA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7434.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jess Mouatt,AUS,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7565.3,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsz Yin Nip,HKG,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7612.7,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yu-Wen Teng,TPE,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7613.5,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orian Gablan,ISR,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7650.8,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federica Senatore,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7704.4,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viola Giraudo,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7715.2,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulina Alanis Hernandez,MEX,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7729.3,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvia Marcon,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7838.7,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samantha Arevalo,ECU,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7839.6,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanano Kato,JPN,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7840.2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Letizia Gioffredi,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7857.5,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sara Petrolli,ITA,05/20/2023,LEN Cup,"Golfo Aranci, ITA",10.0,W,Cold,64.0,7879.6,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
