athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Rachele Bruni,ITA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8232.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Bridi,ITA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8248.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliana Okimoto Cintra,BRA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8248.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8249.6,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Maurer,GER,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8251.7,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cecilia Biagioli,ARG,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8252.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Twichell,USA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8252.6,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8252.6,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharon Van Rouwendaal,NED,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8276.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukimi Moriyama,JPN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8276.8,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olga Kozydub,RUS,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8280.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Brunemann,USA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8350.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xin Xin,CHN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8354.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Kulik,RUS,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8355.1,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heidi Gan,MAS,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8355.3,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minami Niikura,JPN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8366.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Fabian,ISR,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8366.6,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylorpike,USA,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8476.6,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shan Lei,CHN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8485.7,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svenja Zihsler,GER,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8498.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nataly Caldas Calle,ECU,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,8668.4,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adel Farkas,HUN,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,9140.2,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Tiffany Wanfung,HKG,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,9710.5,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shih-Hansu,TPE,10/14/2016,FINA World Cup,"Hong Kong, CHN",10.0,NW,Neutral,29.0,9800.2,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
