athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Haley Anderson,USA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7704.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareena Lee,AUS,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7706.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7707.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley Twichell,USA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7709.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah Moore,USA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7713.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukimi Moriyama,JPN,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7713.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7718.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica Sullivan,USA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7723.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Travis,USA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7724.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea Gubecka,AUS,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7732.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie Horner,CAN,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7859.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Webby,NZL,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7891.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate Farley Sanderson,CAN,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,7936.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viviane Jungblut,BRA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,8037.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole Oliva,USA,08/14/2018,Pan Pacific Championships,"Tokyo, JPN",10.0,NW,Neutral,15.0,8121.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
