split,distance
Split0,0
Split1,444
Split2,798
Split3,1547
Split4,2109
Split5,2463
Split6,3212
Split7,3774
Split8,4128
Split9,4877
Split10,5439
Split11,5793
Split12,6542
Split13,7104
Split14,7458
Split15,8207
Split16,8769
Split17,9123
Split18,10000
