split,distance
Split0,0
Split1,604
Split2,1599
Split3,2382
Split4,3104
Split5,4099
Split6,4882
Split7,5604
Split8,6599
Split9,7382
Split10,8104
Split11,9099
Split12,9882
Split13,10604
Split14,11599
Split15,12382
Split16,13104
Split17,14099
Split18,14882
Split19,15604
Split20,16599
Split21,17382
Split22,18104
Split23,19099
Split24,19882
Split25,20604
Split26,21599
Split27,22382
Split28,23104
Split29,24099
Split30,25000
