split,distance
Split0,0
Split1,400
Split2,800
Split3,1600
Split4,2100
Split5,2500
Split6,3300
Split7,3800
Split8,4200
Split9,4900
Split10,5400
Split11,5800
Split12,6600
Split13,7100
Split14,7500
Split15,8300
Split16,8800
Split17,9200
Split18,10000
