split,distance
Split0,0
Split1,1000
Split2,1500
Split3,2500
Split4,3500
Split5,4000
Split6,5000
Split7,6000
Split8,6500
Split9,7500
Split10,8500
Split11,9000
Split12,10000
Split13,11000
Split14,11500
Split15,12500
Split16,13500
Split17,14000
Split18,15000
Split19,16000
Split20,16500
Split21,17500
Split22,18500
Split23,19000
Split24,20000
Split25,21000
Split26,21500
Split27,22500
Split28,23500
Split29,24000
Split30,25000
