split,distance
Split0,0
Split1,1190
Split2,2555
Split3,3725
Split4,5090
Split5,6290
Split6,7625
Split7,8795
Split8,10160
Split9,11330
Split10,12695
Split11,13865
Split12,15230
Split13,16400
Split14,17765
Split15,18935
Split16,20300
Split17,21470
Split18,22835
Split19,24005
Split20,25000
