athlete_name,country,status,dob
Cecilia Biagioli,ARG,Active,
Barbara Pozzobon,ITA,Active,
Alice Franco,ITA,Active,
Daria Kulik,RUS,Active,
Pilar Geijo,ARG,Active,
Anna Mankevich,RUS,Active,
Romina Soledad Imwinkelried,ARG,Active,
Erika Yenssen,ARG,Active,
Rita Vanesa Garcia,ARG,Active,
Daira Marin,ARG,Active,
Ilaria Raimondi,ITA,Active,
Sharon Van Rouwendaal,NED,Active,
Leonie Beck,GER,Active,
Finnia Wunram,GER,Retired,
Ana Marcela Cunha,BRA,Active,
Martina De Memme,ITA,Active,
Chelsea Gubecka,AUS,Active,
Arianna Bridi,ITA,Active,
Oceane Cassignol,FRA,Active,
Rachele Bruni,ITA,Active,
Giulia Gabbrielleschi,ITA,Active,
Samantha Arevalo,ECU,Active,
Lara Grangeon De Villele,FRA,Active,
Kareena Lee,AUS,Active,
Alice Dearing,GBR,Active,
Adeline Furst,FRA,Active,
Lisa Pou,FRA,Active,
Anna Olasz,HUN,Active,
Esmee Vermeulen,NED,Retired,
Danielle Huskisson,GBR,Retired,
Viviane Jungblut,BRA,Active,
Yukimi Moriyama,JPN,Active,
Angela Maurer,GER,Active,
Lea Boy,GER,Active,
Sarah Bosslet,GER,Active,
Kalliopi Araouzou,GRE,Active,
Paula Ruiz Bravo,ESP,Active,
Stephanie Horner,CAN,Active,
Mackenzie Brazier,AUS,Active,
Jeannette Spiwoks,GER,Active,
Minami Niikura,JPN,Active,
Xin Xin,CHN,Active,
Chloe Gubecka,AUS,Active,
Souad Nefissa Cherouati,ALG,Active,
Svenja Zihsler,GER,Active,
Eva Bonnet,BEL,Active,
Krystyna Panchishko,UKR,Active,
Phoebe Louise Griffiths,GBR,Active,
Ilona Maille,FRA,Active,
Claire Six,FRA,Active,
Siyu Yan,CHN,Active,
Justyna Burska,POL,Active,
Shan Lei,CHN,Active,
Yumi Kida,JPN,Retired,
Caroline Laure Jouisse,FRA,Active,
Caiping Yang,CHN,Active,
Michelle Weber,RSA,Active,
Muran Tian,CHN,Active,
Haley Anderson,USA,Retired,
Chase Travis,USA,Active,
Martina Grimaldi,ITA,Active,
Maria De Valdes,ESP,Active,
Fang Qu,CHN,Active,
Maria Bramont-Arias,PER,Active,
Ellen Olsson,SWE,Active,
Maryna Kyryk,UKR,Active,
Xu Chu,CHN,Active,
Hannah Blackwood,NZL,Active,
Angelica Andre,POR,Active,
Melinda Novoszath,HUN,Active,
Alena Benesova,CZE,Active,
Onon Katalin Somenek,HUN,Active,
Nikolett Szilagyi,HUN,Active,
Eden Girloanta,ISR,Active,
Adel Juhasz,HUN,Active,
Reka Rohacs,HUN,Active,
Luca Vas,HUN,Active,
Greta Szilvasi,HUN,Active,
Karolina Dubcakova,SVK,Active,
Dana Khaled Abdelmoneim Akl,EGY,Active,
Morgane Dornic,FRA,Active,
Sabryna Lavoie,CAN,Active,
Marie-Laurence Lortie,CAN,Active,
Becca Mann,USA,Active,
Nataly Caldas Calle,ECU,Active,
Julia Arino,ARG,Active,
Betina Lorscheitter,BRA,Active,
Mahina Nicole Valdivia Dannenberg,CHI,Active,
Stefannie Gillespie,NZL,Active,
Andrea Terriault,CAN,Active,
Mia Desjarlais,CAN,Active,
Sandra Frimerman-Bergquist,USA,Active,
Heidi Ullrich,CAN,Active,
Dania Belisle,CAN,Active,
Vasiliki Kadoglu,BUL,Active,
Yawen Hou,CHN,Active,
Fuwei Dong,CHN,Active,
Mikayla Messer,AUS,Active,
Sun Jia Sun,CHN,Active,
Xiaoxiao Niu,CHN,Active,
Ru Yi Yu,CHN,Active,
Ci Chen,CHN,Active,
Jia Yi Lu,CHN,Active,
Tsz Yin Nip,HKG,Active,
Jessica Lavin,AUS,Active,
Katawan Teeka,THA,Active,
Sheung Wai Ho,HKG,Active,
Ka Ching Leung,HKG,Active,
Paguypha Leelahanon,THA,Active,
Neeranuch Ponglangka,THA,Active,
Warisara Khaengkun,THA,Active,
Aurelie Muller,FRA,Active,
Sofia Kolesnikova,RUS,Active,
Ane De La Fuente Fiano,ESP,Active,
Valeriia Ermakova,RUS,Active,
Carla Goyanes Garcia,ESP,Active,
Cho Ying Wong,HKG,Active,
Nada Osman,EGY,Active,
Pac Tung Nikita Lam,HKG,Active,
Kathriana Gustianjani,INA,Active,
Martina Oriozabala,ARG,Active,
Vicenia Navarro,VEN,Active,
Hannah Moore,USA,Retired,
Ashley Twichell,USA,Retired,
Erica Sullivan,USA,Active,
Katy Campbell,USA,Active,
Mariah Denigan,USA,Active,
Mira Szimcsak,HUN,Active,
Yi-Chen Wang,TPE,Active,
Aleyna Nur Sungur,TUR,Active,
Hsin-Yi Fang,TPE,Active,
Jordan White,AUS,Active,
Polly Isabella Holden,GBR,Active,
Madisyn Armstrong,AUS,Active,
Luomeng Ren,CHN,Active,
Aricia Peree,BRA,Active,
Amica De Jager,RSA,Active,
Sofie Frichot,SEY,Active,
Maria Vilas,ESP,Active,
Martha Aguilar Ortega,MEX,Active,
Martha Sandoval,MEX,Active,
Hitomi Okamura,JPN,Active,
Aide Lourdes Sandoval Ayala,MEX,Active,
Catia Iordan Agostinho,POR,Active,
Mariana Mendes,POR,Active,
Spela Perse,SLO,Active,
Miriam Frass,GER,Active,
Lenka Sterbova,CZE,Active,
Janka Juhasz,HUN,Active,
Adel Farkas,HUN,Active,
Sarah Demicoli,MLT,Active,
Dorka Betlehem,HUN,Active,
Mariia Novikova,RUS,Active,
Kate Farley Sanderson,CAN,Active,
Eva Fabian,ISR,Active,
Chantel Lily Jeffrey,CAN,Active,
Liliana Hernandez,VEN,Active,
Sandy Atef,EGY,Active,
Paola Perez,VEN,Active,
Robyn Kinghorn,RSA,Active,
Maisie Emily Macartney,GBR,Active,
Seonjae Ban,KOR,Active,
Jeongmin Lee,KOR,Active,
Mariya Fedotova,KAZ,Active,
Yanci Vanegas,GUA,Active,
Ana Abad,ECU,Active,
Camila Mercado,BOL,Active,
Merle Liivand,EST,Active,
Genesis Rojas,CRC,Active,
Anastasiia Krapivina,RUS,Active,
Dayoun Lim,KOR,Active,
Pimpun Choopong,THA,Active,
Haeun Jung,KOR,Active,
Fatima Flores,ESA,Active,
Hita Nayak,IND,Active,
Nikitha Setru Venugopal,IND,Active,
Kenna Delaney Godfrey Smallegange,CAN,Active,
Alexandra Bougie,CAN,Active,
Gabrielle Savard,CLB,Active,
Elise Bolger,CAN,Active,
Julia Nina,BRA,Active,
Ivana Prizmic,CRO,Active,
Li-Shan Chantal Liew,SGP,Active,
Yi Chen Hsieh,TPE,Active,
Rui An Kuo,TPE,Active,
Szu-An Chen,TPE,Active,
Jie Chuan Tseng,TPE,Active,
Ting Yu Chan,TPE,Active,
Hannah Hang Fung Li,HKG,Active,
Jiake Sun,CHN,Active,
Jingcen Hao,CHN,Active,
Nikita Lam Pac Tung,HKG,Active,
Mafalda Rosa,POR,Active,
Bianca Crisp,AUS,Active,
Maria Claro Martinez,ESP,Active,
Yumi Tou,JPN,Active,
Hayley Pike,USA,Active,
Runa Kasahara,JPN,Active,
Silvia Ciccarella,ITA,Active,
Celia Heurtaux,FRA,Active,
Yuen Koike,JPN,Active,
Petra Mijic,CRO,Active,
Mia Yamamoto,JPN,Active,
Lucie Zubalikova,CZE,Active,
Leona Coha,CRO,Active,
Isabella Sinisi,ITA,Active,
Madelon Catteau,FRA,Active,
Marie Kuntzmann,FRA,Active,
Eleonora Brotto,ITA,Active,
Milana Boldyreva,KAZ,Active,
Anastasiia Kirpichnikova,RUS,Active,
Johanna Enkner,AUT,Active,
Maria Jose Mata Cocco,MEX,Active,
Klaudia Tarasiewicz,POL,Active,
Hania Moro,EGY,Active,
Stephanie Houtman,RSA,Active,
Samira-Svea Erhart,GER,Active,
Sofie Callo,ITA,Active,
Narin Burcunaz,TUR,Active,
Tuna Erdogan,TUR,Active,
Sophia Irem Iskenderoglu,TUR,Active,
Sevim Eylul Supurgeci,TUR,Active,
Ece Yildirim,TUR,Active,
Merve Erdemir,TUR,Active,
Ilgin Celik,TUR,Active,
Doga Babacan,TUR,Active,
Rebecca Talanti,ITA,Active,
Nora Naessens,BEL,Active,
Orian Gablan,ISR,Active,
Guy Shlegel,ISR,Active,
Serena Stel,NED,Active,
Ginevra Taddeucci,ITA,Active,
Elea Linka,GER,Active,
Vivien Balogh,HUN,Active,
Alisia Tettamanzi,ITA,Active,
Katie Grimes,USA,Active,
Sarah Kohler,GER,Active,
Xiaoming Ma,CHN,Active,
Yana Kurtseva,RUS,Active,
Lean Cabon,FRA,Active,
Kincso Gal,HUN,Active,
Brooke Travis,USA,Active,
Xeniya Romanchuk,KAZ,Active,
Mathilde Herlem,FRA,Active,
Holly Hibbott,GBR,Active,
Diana Taszhanova,KAZ,Active,
Mariia Bondarenko,UKR,Active,
Irina Arkhipova,KAZ,Active,
Poliana Okimoto Cintra,BRA,Active,
Ophelie Aspord,FRA,Active,
Emily Brunemann,USA,Active,
Astridi Turbe,VEN,Active,
Silvie Rybarova,CZE,Active,
Karelis Del Carmen Clemant Materano,VEN,Active,
Florencia Mazzei Villegas,ARG,Active,
Esther Nunez Morera,ESP,Active,
Stephanie Karin Romero Serwatka,ARG,Active,
Mayte Puca,ARG,Active,
María Celeste Puñet,ARG,Active,
Keri-Anne Payne,GBR,Active,
Eva Risztov,HUN,Active,
Isabelle Harle,GER,Active,
Anastasiia Azarova,RUS,Active,
Heidi Gan,MAS,Active,
Erika Villaecija,ESP,Active,
Olga Kozydub,RUS,Active,
Sarah Thompson,AUS,Active,
Joanna Zachoszcz,POL,Active,
Nikoletta Kiss,HUN,Active,
Aygul Sagirova,RUS,Active,
Mireia Belmonte,ESP,Active,
Charlyne Secrestat,FRA,Active,
Sophie Evans,GBR,Active,
Jimena Perez Blanco,ESP,Active,
Connie Mcclelland,AUS,Active,
Reem Kaseem,EGY,Active,
Fiona On Yi Chan,HKG,Active,
Alessandra Colombini,AUS,Active,
Sofiia Zubenko,UKR,Active,
Hoi Man Lok,HKG,Active,
Mariam Abdelrahman Elsayed Sakr,EGY,Active,
Jana Pechanova,CZE,Active,
Vania Neves,POR,Active,
Jade Dusablon,CAN,Active,
Kristel Kobrich,CHI,Active,
Karla Sitic,CRO,Active,
Charlotte Webby,NZL,Active,
Zaira Cardenas,MEX,Active,
Nilay Erkal,TUR,Active,
Cherelle Tahnee Oestringer,SUI,Active,
Carmen Le Roux,RSA,Active,
Ecem Donmez,TUR,Active,
Tiffany Wan Fung Lee,HKG,Active,
Borbala Szalai,HUN,Active,
Tali Lemcoff,ISR,Active,
Jelena Jecanski,SRB,Active,
Rotem Meirov,ISR,Active,
Ekaterina Sorokina,RUS,Active,
Julie Pleskotova,CZE,Active,
Nefeli Evangelia Giannopoulou,GRE,Active,
Laerke Toft Ruby,DEN,Active,
Adi Peleg,ISR,Active,
Agathe Henry,FRA,Active,
Aimee Hood,GBR,Active,
Alba Herrero Lazaro,ESP,Active,
Alexane Cormier,FRA,Active,
Alexia Bouteilly,FRA,Active,
Alexia Saurel,FRA,Active,
Alice Bataille,FRA,Active,
Alisa Skorniakova,RUS,Active,
Alissia Montebrun,FRA,Active,
Alizée Marbais,FRA,Active,
Amelia Rodd,GBR,Active,
Anais Jarraud,FRA,Active,
Anastasia Basalduk,RUS,Active,
Anastasiia Kostyleva,RUS,Active,
Andrea Dominguez Casabella,ESP,Active,
Clara Andreea Spanu,ROU,Active,
Angela Martinez Guillen,ESP,Active,
Angelina Kargaltseva,RUS,Active,
Anita Metelnytskyy,ISR,Active,
Anna Brendstrup,DEN,Active,
Anna Egorova,RUS,Active,
Anna Fave,FRA,Active,
Anna Tymashenko,ISR,Active,
Antonia Bulicic,CRO,Active,
Arianna Valloni,SMR,Active,
Aroa Silva Fidalgo,ESP,Active,
Audrenn Foiny,FRA,Active,
Audrey Robert,FRA,Active,
Aurelie Holschneider,FRA,Active,
Aurianne Regi,FRA,Active,
Aurora Ponsele,ITA,Active,
Avital Flishman,ISR,Active,
Ayala Chudy,ISR,Active,
Bar Goldin,ISR,Active,
Blanka Berecz,HUN,Active,
Annet Borsi,HUN,Active,
Brooke Switzer,CAN,Active,
Camille Bouteloup,FRA,Active,
Camille Cottier,FRA,Active,
Carmen Mikusova,SVK,Active,
Catherine Francis Van Rensburg,RSA,Active,
Céleste Vereecke,FRA,Active,
Charlotte Perrin,FRA,Active,
Celine Weil,SUI,Active,
Chloe Green,AUS,Active,
Chloé Lisik,FRA,Active,
Chloé Stutel,FRA,Active,
Christine Ekman,SWE,Active,
Clémence Coccordano,FRA,Active,
Coline Coraboeuf,FRA,Active,
Daria Klimova,RUS,Active,
Daria Volobueva,RUS,Active,
Eden Botbol,ISR,Active,
Eden Nimri,ISR,Active,
Ekaterina Zotova,RUS,Active,
Elea Perigueux,FRA,Active,
Elise Houllier,FRA,Active,
Elise Oeberg,SWE,Active,
Elizaveta Anufrieva,RUS,Active,
Ella Dyson,GBR,Active,
Emili Seyevich,ISR,Active,
Emilia Sansome,GBR,Active,
Emilie Anne,FRA,Active,
Emilie Cahuzac,FRA,Active,
Emilie Sansome,GBR,Active,
Emily Clarke,GBR,Active,
Emily Golos,ISR,Active,
Emma Bruneau,FRA,Active,
Emma Calvo,FRA,Active,
Emma Cocheteux,FRA,Active,
Emma Lebre,FRA,Active,
Emma Leu,AUT,Active,
Emma Onolfo,FRA,Active,
Esther Rydbeck Norden,SWE,Active,
Eva Vilar Yebra,ESP,Active,
Evdokia Kritikou,GRE,Active,
Fatima Portillo,ESA,Active,
Fraenzi Heinrich,GER,Active,
Gabriela Martins Scrooby,RSA,Active,
Gili Weltman,ISR,Active,
Giulia Berton,ITA,Active,
Giulia Salin,ITA,Active,
Helena Hvid Hansen,DEN,Active,
Helvina Huet,FRA,Active,
Hilal Zeyneb Sarac,TUR,Active,
Inbal Hazan,ISR,Active,
Inès Idier,FRA,Active,
Iris Menechini,ITA,Active,
Ivana Nedelkovska,MKD,Active,
Jackie Gade,DEN,Active,
Jada Chatoor,TTO,Active,
Janna De Vries Lize,NED,Active,
Jannette Spiwoks,GER,Active,
Jess Booth,RSA,Active,
Jnaka Juhasz,HUN,Active,
Joanne Pladys,FRA,Active,
Josephine Tesch,GER,Active,
Jovana Nedelkovska,MKD,Active,
Karolina Balazikova,SVK,Active,
Kaylee De Jong,NED,Active,
Kiara Barnes,RSA,Active,
Lara Maria Hernandez Tome,ESP,Active,
Laura Burycz,FRA,Active,
Laura Rodriguez Santaularia,ESP,Active,
Léa Cepeck,FRA,Active,
Léa Dubois,FRA,Active,
Leah Crisp,GBR,Active,
Lia Arad,ISR,Active,
Linda Ungerboeck,AUT,Active,
Liane Muller,SUI,Active,
Libi Sela,ISR,Active,
Lilou Ambrass,FRA,Active,
Lily Smith,FRA,Active,
Lou Joly,FRA,Active,
Lou-Anne Barniet,FRA,Active,
Louise Culty,FRA,Active,
Lucie Hanquet,BEL,Active,
Lucie Sebestova,CZE,Active,
Lucile Mouret,FRA,Active,
Lucy Fox,GBR,Active,
Maëlys Fardeau,FRA,Active,
Maëlys Fourmy,FRA,Active,
Maeve Garreau,FRA,Active,
Maiana Flament,FRA,Active,
Maina Guillemin,FRA,Active,
Manoella Barbosa,FRA,Active,
Margaux Bouteloup,FRA,Active,
Margaux Guillaume,FRA,Active,
Maria Babkina,RUS,Active,
Marie-Amélie Henriet,FRA,Active,
Marij Van Der Mast,NED,Active,
Marina Castro Atalaya,ESP,Active,
Marine Boudes,FRA,Active,
Marion Joffle,FRA,Active,
Marlene Blanke,GER,Active,
Marta Garzon Siles,ESP,Active,
Mathilde Lombard,FRA,Active,
May Levy,ISR,Active,
Megan De Wet,RSA,Active,
Mélie Boulianne,FRA,Active,
Mia Englender,ISR,Active,
Moa Holmquist,SWE,Active,
Mor Jacob,ISR,Active,
Nadia Blaauw,RSA,Active,
Nicole Oliva,USA,Active,
Nina Mikhailova,RUS,Active,
Noa Barderan,ISR,Active,
Noah Bondouy,FRA,Active,
Noga Baruch,ISR,Active,
Nolwenn Nunes,FRA,Active,
Norah Vigouroux,FRA,Active,
Ofir Rabina,ISR,Active,
Ofri Dueak,ISR,Active,
Olivia Mascarin,FRA,Active,
Ori Komemi,ISR,Active,
Paolina Istomina,RUS,Active,
Paula Otero Fernandez,ESP,Active,
Pauline Dauvin,FRA,Active,
Pavlina Soukupova,CZE,Active,
Perrine Courbet,FRA,Active,
Polina Kharitonova,RUS,Active,
Polina Yuzofenko,UKR,Active,
Reka Fehervari,HUN,Active,
Rosalie Levesque Pero,CAN,Active,
Sara Veress,HUN,Active,
Sarah Moreau,FRA,Active,
Scarlett Botes,RSA,Active,
Shelly Dekel,ISR,Active,
Sherine Bouftini,FRA,Active,
Shira Elbazis,ISR,Active,
Shira Golcman,ISR,Active,
Shira Kedem,ISR,Active,
Shiri Yamin,ISR,Active,
Sofia Vakhrusheva,RUS,Active,
Solene Cousseau,FRA,Active,
Stav Siminchi,ISR,Active,
Sude Nur Sucan,TUR,Active,
Tal Ashkenazi,ISR,Active,
Tamar Delmonte,ISR,Active,
Tamarrachel Nahmanny,ISR,Active,
Valentina Barbosa,FRA,Active,
Varvara Pogorelova,RUS,Active,
Veronica Santoni,ITA,Active,
Veronika Nikulina,RUS,Active,
Veronika Petrekova,CZE,Active,
Veronika Volikov,ISR,Active,
Vivien Nett,HUN,Active,
Yael Ravid,ISR,Active,
Yakut Ayse Yaprak,TUR,Active,
Yarden Harel,ISR,Active,
Yuval Natan,ISR,Active,
Zsofia Varga,HUN,Active,
Breanne Emma Joan Siwicki,CAN,Active,
Lauren Teghtsoonian,CAN,Active,
Leonie Van Noort,NED,Active,
Victoria Mock,CAN,Active,
Angelica Astorga,CRC,Active,
Anne-Catherine Savaria,CAN,Active,
