name,pagerank,rank
Ferry Weertman,0.08862341939790423,1
Marc-Antoine Olivier,0.05627251966833845,2
Simone Ruffini,0.04952640584348147,3
Federico Vanelli,0.041980629765449765,4
Spyridon Gianniotis,0.04064610746187715,5
Jack Burnell,0.03969671384416692,6
Andreas Waschburger,0.030866738683013338,7
Christian Reichert,0.025884340365483954,8
Evgenii Drattcev,0.021624538780034196,9
Kirill Abrosimov,0.02044466996362782,10
Caleb Hughes,0.01975531085837617,11
Rob Muffels,0.018136026391504342,12
Lijun Zu,0.01745445378406401,13
Axel Reymond,0.016098185999754773,14
Allan Do Carmo,0.015125020476426321,15
Mark Papp,0.014243655625441807,16
Chip Peterson,0.013538657693487811,17
Daniel Szekelyi,0.012346727035185747,18
Marcel Schouten,0.011347174089715693,19
Damien Cattin-Vidal,0.010469672974810586,20
Yasunari Hirai,0.010368082210001581,21
Jordan Wilimovsky,0.010207335026938784,22
Ivan Enderica Ochoa,0.009859105729830717,23
Chad Ho,0.009854687850394683,24
Richard Weinberger,0.009261173500236454,25
Matteo Furlan,0.008651430497241045,26
Diogo Villarinho,0.008327555106293962,27
Sean Ryan,0.00780486397484656,28
Kristof Rasovszky,0.007667190399904892,29
Alex Meyer,0.007299361103902649,30
Anton Evsikov,0.006917702710341393,31
Ous Mellouli,0.006396033656765574,32
Vitaliy Khudyakov,0.0063883504293218065,33
Philippe Guertin,0.006283085760969799,34
Ventsislav Aydarski,0.005891574187791956,35
Evgenij Pop Acev,0.005544947451617584,36
Logan Fontaine,0.005083289216697011,37
Simon Huitenga,0.005037085598200686,38
Soren Dellef Meissner,0.004712045728168478,39
Mateusz Sawrymowicz,0.0046016012333412615,40
Mario Sanzullo,0.004353075752364843,41
Pepijn Smits,0.004295553076256574,42
David Aubry,0.004270576158526606,43
Esteban Enderica Salgado,0.0042257605321542185,44
Gergely Gyurta,0.00421114881350731,45
Diego Vera,0.004178147372318704,46
Patrik Rakos,0.004158639182020721,47
Richard Nagy,0.0041572013375694395,48
Sergey Bolshakov,0.00398801393754432,49
Guillermo Bertola,0.003965000566641552,50
Jarrod Poort,0.003930307961752916,51
Kirill Belyaev,0.0038805969338786776,52
Roman Karyakin,0.0036143661511763197,53
Yohsuke Miyamoto,0.0035526748862969556,54
Krzysztof Pielowski,0.0033796060380222696,55
Dario Verani,0.0033348098719166407,56
Damian Blaum,0.0032904237408634667,57
Andrea Bianchi,0.003222282639807025,58
Eric Hedlin,0.003163921093604305,59
Igor Chervynskiy,0.0031114006093338076,60
Jan Micka,0.0030362792226462983,61
Benjamin Brantu,0.003017709519896901,62
Erwin Maldonado,0.003006351421258536,63
Tobias Patrick Robinson,0.0029885556735313058,64
Matej Kozubek,0.002843675328949878,65
Yuval Safra,0.002783891493035133,66
Francesco Bianchi,0.0027639492334494463,67
Edoardo Stochino,0.0027557138735080523,68
