name,pagerank,rank
Kristof Rasovszky,0.04958876067973016,1
Florian Wellbrock,0.03809178653220861,2
Ferry Weertman,0.034506477151457486,3
Rob Muffels,0.033608958794764526,4
Marc-Antoine Olivier,0.027685089922224463,5
Jack Burnell,0.023475849990524062,6
Gregorio Paltrinieri,0.022962496304275645,7
Simone Ruffini,0.020427812226673052,8
Matteo Furlan,0.017641871892040507,9
Mario Sanzullo,0.017426897439066887,10
Andreas Waschburger,0.016994777979313792,11
Jordan Wilimovsky,0.016118292684743074,12
Axel Reymond,0.0153429301410224,13
David Aubry,0.014638806743907374,14
Marcel Schouten,0.013111094436555568,15
Logan Fontaine,0.01289542919292335,16
Allan Do Carmo,0.012315964939466828,17
Soren Dellef Meissner,0.012295120300511518,18
Tobias Patrick Robinson,0.012253901451223511,19
Alberto Martinez,0.012111065858505974,20
Nicholas Sloman,0.01147399766782843,21
Kirill Abrosimov,0.011261114372185953,22
Christian Reichert,0.01116430877482559,23
Matej Kozubek,0.009255939628124885,24
Andrea Manzi,0.008870702543752527,25
Matan Roditi,0.008573177872415178,26
Kai Graeme Edwards,0.008473924711561857,27
Fernando Ponte,0.008431584963676358,28
Logan Vanhuys,0.008049629432994013,29
Daniel Szekelyi,0.007815823300236403,30
Esteban Enderica Salgado,0.007740256260137169,31
Pepijn Smits,0.007722759584343529,32
Diogo Villarinho,0.007426432755615961,33
Yuval Safra,0.007306473215322055,34
Bailey Armstrong,0.006505754371188928,35
Krzysztof Pielowski,0.0064649426479246146,36
Dario Verani,0.006110824710396187,37
Athanasios Kynigakis,0.0057997206310417835,38
Guillem Pujol,0.0053453538465492315,39
Simon Huitenga,0.005292374618576308,40
Hau-Li Fan,0.005286227671820076,41
Yasunari Hirai,0.005274137664459644,42
Brendan Casey,0.005128084454157444,43
Raul Santiago Betancor,0.004729984905865572,44
Federico Vanelli,0.004582869455356913,45
Vitaliy Khudyakov,0.004551168506999688,46
Evgenii Drattcev,0.004506247282785893,47
Niklas Frach,0.004146495972669342,48
Hayden Paul Cotter,0.00399567698852993,49
Pol Gil,0.00395125801451304,50
Shahar Resman,0.0038646021115959833,51
Rafael Gil,0.003777668248429875,52
Jiabao An,0.0037246127491900325,53
David Brandl,0.00369009568836572,54
Mark Papp,0.0036497050581387816,55
Evgenij Pop Acev,0.0036111804192498786,56
Pasquale Sanzullo,0.003120396157121419,57
Kirill Belyaev,0.003038448197621963,58
Chad Ho,0.0030087365343765024,59
Elliot Sodemann,0.0030047532490880074,60
Alexandre Finco,0.002997041119646407,61
David Heron,0.002962813365514533,62
Peter Galicz,0.002911573329073163,63
Fares Zitouni,0.0028549393917813035,64
Clement Batte,0.002849353940040691,65
Marcus Herwig,0.0028307918517368703,66
Andrea Bianchi,0.0028196263151651275,67
Vit Ingeduld,0.002745521706799657,68
Marcello Guidi,0.0027093701733424957,69
Joaquin Moreno,0.0024966808745165063,70
Jean-Baptiste Clusman,0.0024879867667265674,71
Taishin Minamide,0.0024140076878274136,72
Ivan Enderica Ochoa,0.002371915133040429,73
Ventsislav Aydarski,0.0023361419230074993,74
Eric Hedlin,0.0022567521031618535,75
David Huszti,0.0021208446200150907,76
Nicolas Masse-Savard,0.002112970157669552,77
Oliver Signorini,0.002050724989536852,78
Jon Thomas Mckay,0.002049423164239115,79
Danie Marais,0.0020264176857910615,80
Shai Toledano,0.0020026305107810663,81
Yohsuke Miyamoto,0.001995520725879849,82
Michael Brinegar,0.001980599512288051,83
Victor Colonese,0.0019791512539534453,84
Victor Johansson,0.001961852475807458,85
Zhongyi Qiao,0.0019455431500473267,86
Franco Ivo Cassini,0.0019376090462910256,87
Alessio Occhipinti,0.0019097850642221087,88
Gaspar Andrade Budino,0.0018772695097734175,89
Edoardo Stochino,0.0018573543250344987,90
Lachlan Colquhoun,0.001853762349469819,91
Taiki Nonaka,0.0018415020407054478,92
Igor Chervynskiy,0.0018143960071226799,93
Zoltán Drigan,0.0018038681070764876,94
Damien Joly,0.0017674105925560017,95
Caleb Hughes,0.0017587569053345692,96
Alexander Studzinski,0.0017470450112771325,97
Clement Kukla,0.0017419780952752754,98
Taylor Abbott,0.0017216385817839424,99
Francesco Ghettini,0.0017067014372484672,100
Aubin Coccordano,0.0017049539005080674,101
Aleksandr Astapov,0.001677395688919784,102
Tiago Campos,0.0016706594214729743,103
Alexis Vandevelde,0.001650155179575914,104
Nicholas Rollo,0.0016414583535866705,105
Guillermo Bertola,0.0016374566685032534,106
Brennan Gravley,0.0016158596683806753,107
Takeshi Toyoda,0.0015923003771973585,108
Enzo Roldan Munoz,0.00158067251392494,109
Lars Bottelier,0.0015528660258873192,110
Ruwen Straub,0.0015477822373997415,111
Anton Evsikov,0.001530927433696728,112
Jack Brazier,0.001479269930059,113
Damian Blaum,0.0014774527530913828,114
Hugo Saillard,0.001465112055242808,115
Asterios Daldogiannis,0.0014380981178319556,116
Guillermo Vittorio Bertola,0.00135036171662321,117
Hector Thomas Cheal Pardoe,0.0013315827453136242,118
Ferran Julia Tous,0.0013123803072382701,119
David Castro,0.0013050957012039261,120
Gergely Gyurta,0.0013034100024739274,121
Richard Weinberger,0.0012982891003491199,122
Marwan Elamrawy,0.001295622305083744,123
Artem Mamushkin,0.0012595444319129343,124
Naim Mokhfi,0.001257029133221398,125
Tamas Farkas,0.0012202827446358292,126
Roman Kozhevnikov,0.0012201127413459614,127
Idan Mordel,0.0012144951342834892,128
Matheus Emerim Evangelista,0.0012043949570764065,129
Domenico Acerenza,0.0011919811224507305,130
Simone Ercoli,0.0011358346750258753,131
Planella Roger Coma,0.0011284926953874879,132
Daniel Delgadillo,0.0011031942684215593,133
Aquiles Balaudo,0.001098524193476134,134
Arti Krasniqi,0.0010943559895530662,135
Romain Beraud,0.0010909506344591378,136
Xavier Desharnais,0.0010871078567990743,137
Mathieu Mathy Ben Rahou,0.0010662925711210501,138
Ruoyu Wang,0.0010651288223207573,139
Reilly Kennedy,0.0010534472122309172,140
Jules Wallart,0.0010461691482570401,141
David Farinango,0.0010405468215860837,142
Zoltán Márk Tabi,0.0010232182280545416,143
Levente Selmeci,0.0010230497151751102,144
Nathan Hughes,0.0010224871666990572,145
Yosuke Aoki,0.001010958947653571,146
Georgios Arniakos,0.0009865725402752727,147
Simon Lamar,0.0009823875078454614,148
