name,pagerank,rank
Ferry Weertman,0.05275955894950431,1
Simone Ruffini,0.039114649830789015,2
Kristof Rasovszky,0.03841778662569594,3
Jack Burnell,0.032055128991317704,4
Rob Muffels,0.031232950992837936,5
Allan Do Carmo,0.022142142915006904,6
Marc-Antoine Olivier,0.021516514991707352,7
Federico Vanelli,0.02004909254614316,8
Christian Reichert,0.01963455160116183,9
Marcel Schouten,0.019182414135048106,10
Matteo Furlan,0.019016556167617046,11
David Aubry,0.017883339343507266,12
Andreas Waschburger,0.01715243492903072,13
Axel Reymond,0.01667443794141547,14
Kirill Abrosimov,0.014242385457883158,15
Mario Sanzullo,0.014085951876968766,16
Jordan Wilimovsky,0.01356758270307703,17
Andrea Manzi,0.013537407173655251,18
Logan Fontaine,0.013445188541634347,19
Soren Dellef Meissner,0.012486966664708986,20
Tobias Patrick Robinson,0.012427542837882605,21
Pepijn Smits,0.012284367831212903,22
Fernando Ponte,0.01209404237214207,23
Diogo Villarinho,0.01155472671737344,24
Yasunari Hirai,0.011496079138370056,25
Simon Huitenga,0.01064486156406066,26
Florian Wellbrock,0.010320813135620473,27
Evgenii Drattcev,0.009537621348645095,28
Krzysztof Pielowski,0.008483892990385392,29
Alberto Martinez,0.00838390720458101,30
Vitaliy Khudyakov,0.008023984276266539,31
Daniel Szekelyi,0.007920488757099262,32
Caleb Hughes,0.007830786880570248,33
Matan Roditi,0.007086266605551268,34
Yuval Safra,0.0067334731740597295,35
Ventsislav Aydarski,0.0063621846047094794,36
Mark Papp,0.005922178150401342,37
Spyridon Gianniotis,0.00572201324450131,38
Ivan Enderica Ochoa,0.005660565090812888,39
Shahar Resman,0.00563079060934769,40
Nicholas Sloman,0.005542847259896216,41
Brendan Casey,0.0054335032742379484,42
Gregorio Paltrinieri,0.0053241812543895015,43
Matej Kozubek,0.005311611546807915,44
Chad Ho,0.004994501497743208,45
Raul Santiago Betancor,0.004927429047942033,46
Richard Weinberger,0.004859606872104814,47
Guillermo Bertola,0.004752165753635386,48
Jack Brazier,0.004739962543283121,49
Lijun Zu,0.004665326848497306,50
Lachlan Colquhoun,0.004301514613356681,51
Marcus Herwig,0.004236925777266054,52
Esteban Enderica Salgado,0.00413404816282785,53
David Brandl,0.004133327698196582,54
Dario Verani,0.004016477068303734,55
Logan Vanhuys,0.0038037477211845866,56
Bailey Armstrong,0.0032360038660424026,57
David Heron,0.00320084238598894,58
Chip Peterson,0.0031904729636401067,59
Victor Johansson,0.0030259786783989827,60
Kai Graeme Edwards,0.0030183210668158866,61
Taishin Minamide,0.002861843689052005,62
Pol Gil,0.002837907212267552,63
Evgenij Pop Acev,0.002835470053802569,64
Oliver Signorini,0.002819066639922398,65
Shai Toledano,0.002805979807443599,66
Anton Evsikov,0.002744803192096887,67
Sergey Bolshakov,0.002728295720469858,68
Igor Chervynskiy,0.00257975624913144,69
Aleksandr Astapov,0.0025744944094702655,70
Rafael Gil,0.0025678368951590463,71
Kirill Belyaev,0.0025509014772870757,72
Pasquale Sanzullo,0.002493764730659528,73
Yohsuke Miyamoto,0.0024654521399239786,74
Clement Batte,0.0024489492866558407,75
Damien Cattin-Vidal,0.0024457855699460103,76
Alexander Studzinski,0.0024404039910343417,77
Hau-Li Fan,0.0024276748822434475,78
Jean-Baptiste Clusman,0.00238343308266899,79
Zoltán Drigan,0.0022547582319903045,80
Andrea Bianchi,0.0022382472608548443,81
Taiki Nonaka,0.002146404718576852,82
Alexandre Finco,0.0021400926523178,83
Marcello Guidi,0.0020488581397427874,84
Gaspar Andrade Budino,0.002048019908799364,85
Enzo Roldan Munoz,0.001921594772375208,86
Aubin Coccordano,0.001911282195892654,87
Elliot Sodemann,0.0018712732881653402,88
