name,pagerank,rank
Ferry Weertman,0.05058762001402089,1
Kristof Rasovszky,0.04404681851966618,2
Simone Ruffini,0.035277900453047725,3
Rob Muffels,0.035082322052033627,4
Jack Burnell,0.03277546304716936,5
Marc-Antoine Olivier,0.02139711266288932,6
Florian Wellbrock,0.02065190228389811,7
Allan Do Carmo,0.019674900591598137,8
Axel Reymond,0.01933223745094013,9
Matteo Furlan,0.019193140426791773,10
Andreas Waschburger,0.019093669409209264,11
Mario Sanzullo,0.0186727687130529,12
Christian Reichert,0.017877843771320682,13
Gregorio Paltrinieri,0.017759307842077524,14
Marcel Schouten,0.017731782658697067,15
David Aubry,0.015772615495370186,16
Logan Fontaine,0.015378130109835568,17
Andrea Manzi,0.014363037632646868,18
Soren Dellef Meissner,0.013454339282406618,19
Federico Vanelli,0.012875081612407253,20
Tobias Patrick Robinson,0.012863283159667309,21
Fernando Ponte,0.012513803986310803,22
Pepijn Smits,0.01134784767011809,23
Diogo Villarinho,0.01114348582373087,24
Jordan Wilimovsky,0.01080129312274422,25
Kirill Abrosimov,0.010108734266798338,26
Yasunari Hirai,0.009664884572235296,27
Simon Huitenga,0.00938530502249669,28
Alberto Martinez,0.00926741150045766,29
Krzysztof Pielowski,0.007601187935835877,30
Vitaliy Khudyakov,0.00742035411560922,31
Evgenii Drattcev,0.006828614700228322,32
Matan Roditi,0.00652287045119626,33
Daniel Szekelyi,0.006096719178988249,34
Yuval Safra,0.005967326900935733,35
Matej Kozubek,0.005778067534685746,36
Raul Santiago Betancor,0.005679825537378356,37
Nicholas Sloman,0.005629895734551425,38
Shahar Resman,0.005036524755346405,39
Ventsislav Aydarski,0.004902379626820452,40
Dario Verani,0.004901100223426341,41
Brendan Casey,0.00486999850994229,42
Caleb Hughes,0.004752581464923166,43
Marcus Herwig,0.004257123635765089,44
Mark Papp,0.004239807043848021,45
Ivan Enderica Ochoa,0.0042277966027953594,46
David Brandl,0.003992889629450084,47
Pasquale Sanzullo,0.003978664634841671,48
Logan Vanhuys,0.003971626362368064,49
Chad Ho,0.003937302282459316,50
Lachlan Colquhoun,0.003755979661423364,51
Esteban Enderica Salgado,0.0037027228569594373,52
Guillermo Bertola,0.003619603117540471,53
Jack Brazier,0.0036159334893387488,54
Kai Graeme Edwards,0.0033713874298870283,55
Taishin Minamide,0.0032610475278771326,56
Bailey Armstrong,0.0031834226803021614,57
Richard Weinberger,0.003163909895217804,58
Marcello Guidi,0.003080772750817769,59
Pol Gil,0.0029606825196704808,60
Rafael Gil,0.0028784006196914684,61
Niklas Frach,0.0028754873345756774,62
David Heron,0.002802986094781953,63
Alexandre Finco,0.0027527587614891605,64
Victor Johansson,0.0027435407335600396,65
Oliver Signorini,0.0026752997385200046,66
Evgenij Pop Acev,0.002593092086121886,67
Joaquin Moreno,0.002583337354378906,68
Jean-Baptiste Clusman,0.0025412958300616946,69
Elliot Sodemann,0.002516486570012707,70
Alexander Studzinski,0.0024863440189083555,71
Kirill Belyaev,0.002486179366278848,72
Shai Toledano,0.002483027744524907,73
Lijun Zu,0.0024463938789705503,74
Hau-Li Fan,0.0023998817550081324,75
Aleksandr Astapov,0.0022743735530528987,76
Clement Batte,0.0022154058161954118,77
Gaspar Andrade Budino,0.002176234216045537,78
Guillem Pujol,0.002150490004307722,79
Igor Chervynskiy,0.0021417965084218073,80
Spyridon Gianniotis,0.002116543345327095,81
Zoltán Drigan,0.002095612188480843,82
