name,pagerank,rank
Ana Marcela Cunha,0.07001594351527225,1
Rachele Bruni,0.058470744970695536,2
Arianna Bridi,0.05178966482390487,3
Haley Anderson,0.04106543570747884,4
Sharon Van Rouwendaal,0.04023311572532923,5
Finnia Wunram,0.03733073471104739,6
Leonie Beck,0.03273561743547395,7
Kareena Lee,0.030436197764214207,8
Giulia Gabbrielleschi,0.025882043464215104,9
Aurelie Muller,0.023650312764673057,10
Samantha Arevalo,0.02262474520033117,11
Xin Xin,0.021495496170292748,12
Anna Olasz,0.016307458572570627,13
Chelsea Gubecka,0.015956344951489492,14
Martina De Memme,0.015712683107286383,15
Esmee Vermeulen,0.015434829895346468,16
Viviane Jungblut,0.014487015678101942,17
Ashley Twichell,0.013609067845869585,18
Angelica Andre,0.011654918079570876,19
Angela Maurer,0.010610179897786945,20
Lara Grangeon De Villele,0.010146061825419836,21
Oceane Cassignol,0.0100847198478995,22
Paula Ruiz Bravo,0.009110945173575446,23
Danielle Huskisson,0.008605670244599399,24
Yawen Hou,0.008554742750390554,25
Yukimi Moriyama,0.008361749099752997,26
Anastasiia Krapivina,0.007567212706765109,27
Lea Boy,0.007237976965581164,28
Alice Dearing,0.006818296635407727,29
Yumi Kida,0.006564478811836075,30
Svenja Zihsler,0.006401926384167605,31
Poliana Okimoto Cintra,0.006360659571758242,32
Hannah Moore,0.006249880727854572,33
Sarah Bosslet,0.006185239706555896,34
Onon Katalin Somenek,0.005711983277054422,35
Alena Benesova,0.005483922139019011,36
Maria De Valdes,0.005425608175749471,37
Chloe Gubecka,0.005401918806983199,38
Barbara Pozzobon,0.005211809603279803,39
Chase Travis,0.004575007888476495,40
Reka Rohacs,0.0044621857544456,41
Kalliopi Araouzou,0.004450789425968426,42
Cecilia Biagioli,0.004404095128365952,43
Adeline Furst,0.004347366352015555,44
Mackenzie Brazier,0.004264215675664644,45
Muran Tian,0.004110288729344796,46
Spela Perse,0.004098615179314472,47
Lisa Pou,0.003926625782673473,48
Valeriia Ermakova,0.0038024995685950512,49
Erica Sullivan,0.0037743883364533253,50
Aurora Ponsele,0.00355876787971785,51
Olga Kozydub,0.003487996866848674,52
Minami Niikura,0.0034652584475830003,53
Michelle Weber,0.003245306162566005,54
Martina Grimaldi,0.003170891327143749,55
Melinda Novoszath,0.0031598341189663613,56
Katy Campbell,0.0031461018281627793,57
Veronica Santoni,0.0030499568806458565,58
Siyu Yan,0.0029736850903004813,59
Ellen Olsson,0.002840169886224701,60
Justyna Burska,0.002627291527464411,61
Sofia Kolesnikova,0.0025659812574906305,62
Julia Arino,0.0024443830164207264,63
Daria Kulik,0.0023495041808541442,64
Eva Fabian,0.002259943780098321,65
Stephanie Horner,0.0022530611905256116,66
