name,pagerank,rank
Ana Marcela Cunha,0.07979501688718918,1
Rachele Bruni,0.05811201043674906,2
Arianna Bridi,0.05634236822368902,3
Leonie Beck,0.046785611460820206,4
Haley Anderson,0.04532461974218077,5
Sharon Van Rouwendaal,0.037319428349123496,6
Kareena Lee,0.03176441493309285,7
Finnia Wunram,0.03127266334216717,8
Xin Xin,0.02930098321446873,9
Lara Grangeon De Villele,0.02494256386862884,10
Aurelie Muller,0.02102779436002474,11
Giulia Gabbrielleschi,0.017669690211623915,12
Samantha Arevalo,0.017372474253490304,13
Ashley Twichell,0.01569548050952711,14
Anna Olasz,0.014646652561371574,15
Angelica Andre,0.014547851048329735,16
Esmee Vermeulen,0.012860970004197824,17
Viviane Jungblut,0.011260316925797853,18
Martina De Memme,0.010733960258447145,19
Paula Ruiz Bravo,0.009630277732901253,20
Chelsea Gubecka,0.009531586906189148,21
Lea Boy,0.009356864029782199,22
Hannah Moore,0.008764999379984742,23
Yawen Hou,0.008023959902097122,24
Alice Dearing,0.00777208560770856,25
Oceane Cassignol,0.007292943854637222,26
Danielle Huskisson,0.006682095782452563,27
Alena Benesova,0.006162867229453982,28
Reka Rohacs,0.006150899377494401,29
Yumi Kida,0.005573914123306371,30
Onon Katalin Somenek,0.005561911531756555,31
Chloe Gubecka,0.005500606742345675,32
Barbara Pozzobon,0.00529638326297697,33
Angela Maurer,0.00509010082403009,34
Maria De Valdes,0.004902483332627416,35
Mackenzie Brazier,0.00466037011490934,36
Yukimi Moriyama,0.004513845445646449,37
Spela Perse,0.00423934255637955,38
Caroline Laure Jouisse,0.004094674774023206,39
Fuwei Dong,0.003876351278481234,40
Svenja Zihsler,0.0037388640899337256,41
Minami Niikura,0.003616827059925222,42
Lisa Pou,0.0035259899366649715,43
Kalliopi Araouzou,0.0035197414853626674,44
Anastasiia Krapivina,0.0034840043158931035,45
Erica Sullivan,0.003476365745775289,46
Maria Bramont-Arias,0.003296674852606754,47
Sarah Bosslet,0.003211796671933871,48
Jeannette Spiwoks,0.003104651124855951,49
Katy Campbell,0.003074874365134203,50
Ellen Olsson,0.0030298163036177428,51
Melinda Novoszath,0.0029048334016526537,52
Eva Fabian,0.0028947223409828415,53
Muran Tian,0.002805076220158017,54
Chase Travis,0.002765912873943136,55
Valeriia Ermakova,0.0026413838532242957,56
Cecilia Biagioli,0.0026278750620251225,57
Morgane Dornic,0.0025222485468363366,58
Adeline Furst,0.002508008035617213,59
Julia Arino,0.0024028884490364982,60
Stephanie Horner,0.0023981443762978783,61
Ginevra Taddeucci,0.002332830320366141,62
Serena Stel,0.0022911545917498597,63
Mariia Novikova,0.00226578559989143,64
Madelon Catteau,0.0021040441395483176,65
Veronica Santoni,0.0021030462312127685,66
Sofia Kolesnikova,0.0021017663403733403,67
Madisyn Armstrong,0.002029857809091801,68
Krystyna Panchishko,0.002013362905331028,69
Justyna Burska,0.0019483726415815208,70
Eden Girloanta,0.0019452791700014346,71
Michelle Weber,0.001914346913423189,72
Olga Kozydub,0.0018414208432686301,73
Lenka Sterbova,0.0018338023553861873,74
Maria Babkina,0.001813861352636416,75
Mafalda Rosa,0.0017172379224004689,76
Maisie Emily Macartney,0.0016765807937832587,77
Maria Vilas,0.0016007201436162902,78
Claire Six,0.0015891245146708779,79
Aurora Ponsele,0.0015822417916735412,80
Nikolett Szilagyi,0.0015638326051132505,81
Siyu Yan,0.0015399861942981428,82
Alice Franco,0.0015290371777910146,83
Helvina Huet,0.0015225846467828144,84
Martina Grimaldi,0.0014642556560811384,85
Ilona Maille,0.0014453526909496278,86
Celia Heurtaux,0.0013778923162093967,87
Silvia Ciccarella,0.001373223898371398,88
Becca Mann,0.0013302040100379368,89
Nolwenn Nunes,0.0012901084465858437,90
Claudia Giralt Pidemont,0.0012697686322747956,91
Kate Farley Sanderson,0.0012258334492287748,92
Romina Soledad Imwinkelried,0.0012230510353787312,93
Elise Houllier,0.0011990277825520302,94
Daria Volobueva,0.001198747714389457,95
Lean Cabon,0.001153639548504178,96
Carla Goyanes Garcia,0.001143869804404676,97
Alisia Tettamanzi,0.001113356875993856,98
Anna Fave,0.0010918044387213444,99
Ekaterina Sorokina,0.001074155849657293,100
Luca Vas,0.0010544561485201533,101
Daria Kulik,0.0010518871286752936,102
Poliana Okimoto Cintra,0.0010387712804603441,103
Emma Onolfo,0.001037777083839212,104
Fraenzi Heinrich,0.0010247998376065888,105
Laura Rodriguez Santaularia,0.00101625602514534,106
Vivien Balogh,0.0010074711305425765,107
Jazmin Carlin,0.0010016292601477948,108
Yana Kurtseva,0.0009972706032870585,109
Nataly Caldas Calle,0.000985831658984733,110
Fang Qu,0.0009808954739073945,111
Pilar Geijo,0.0009769567233255832,112
Janka Juhasz,0.000973012882327118,113
Judith Navarro Silvestre,0.0009697743701119999,114
Anastasiia Kirpichnikova,0.0009579697661174778,115
Xu Chu,0.0009456384635353717,116
Chantel Lily Jeffrey,0.0009341991612607178,117
Anastasia Basalduk,0.0009340489993404039,118
Lucie Zubalikova,0.0008954508649724883,119
Betina Lorscheitter,0.0008688048865198585,120
Emily Clarke,0.0008685429391940724,121
Tsz Yin Nip,0.0008663435418981885,122
Kiah Melverton,0.0008469073412644065,123
Marij Van Der Mast,0.000823170549494263,124
Martha Sandoval,0.0008039677087235982,125
Polina Kharitonova,0.0007916672071737721,126
Veronika Nikulina,0.0007830911334661163,127
Martha Aguilar Ortega,0.0007662101478470102,128
Polly Isabella Holden,0.0007656692409167713,129
Nora Naessens,0.0007617455398114069,130
Bianca Crisp,0.0007573542738696423,131
Chloe Green,0.0007553762668207023,132
Laerke Toft Ruby,0.0007291824220070571,133
Sabryna Lavoie,0.0007265975976300653,134
Alice Bataille,0.0007255199312494429,135
Cherelle Tahnee Oestringer,0.000722800753108398,136
Mariana Mendes,0.0007197386385080213,137
Céleste Vereecke,0.0007181456900686831,138
Isabella Rongione,0.0007157476120941554,139
