name,pagerank,rank
Leonie Beck,0.06980581313011514,1
Sharon Van Rouwendaal,0.06752577945348971,2
Ana Marcela Cunha,0.06045575979812229,3
Ginevra Taddeucci,0.05026541696266021,4
Giulia Gabbrielleschi,0.03943660356565615,5
Angelica Andre,0.03390207782128278,6
Chelsea Gubecka,0.03253273452841129,7
Anna Olasz,0.031678919337545,8
Aurelie Muller,0.028602531022821235,9
Lea Boy,0.021289815400432812,10
Barbara Pozzobon,0.02105166146749971,11
Caroline Laure Jouisse,0.020599157984490083,12
Jeannette Spiwoks,0.01915223349234432,13
Viviane Jungblut,0.017486819566534386,14
Oceane Cassignol,0.01683650206961582,15
Moesha Johnson,0.016104989407376483,16
Rachele Bruni,0.01605120903302744,17
Maria De Valdes,0.015718559775267545,18
Reka Rohacs,0.013926917959723836,19
Mafalda Rosa,0.012638794306719787,20
Mira Szimcsak,0.011494719322140154,21
Lisa Pou,0.011296613789118353,22
Martina De Memme,0.010954624548429463,23
Bettina Fábián,0.010689413497747846,24
Lara Grangeon De Villele,0.009933326791664872,25
Mariah Denigan,0.008898586655233085,26
Spela Perse,0.008580006464048422,27
Katie Grimes,0.008202896290244501,28
Eva Fabian,0.008167169338107762,29
Kareena Lee,0.00798186116625286,30
Vivien Balogh,0.007902710597705247,31
Paula Ruiz Bravo,0.006759865724261336,32
Madelon Catteau,0.006603470413220072,33
Madeline Claire Gough,0.00562319605156786,34
Arianna Bridi,0.005120509499021835,35
Sofie Callo,0.005081436631519336,36
Alice Dearing,0.004550477790326901,37
Samantha Arevalo,0.004532437123898381,38
Alena Benesova,0.004496698147522847,39
Angela Martinez Guillen,0.00405064740237246,40
Maria Bramont-Arias,0.0037594301314816353,41
Haley Anderson,0.0031153707832681805,42
Anastasiia Kirpichnikova,0.00309797026703726,43
Bianca Crisp,0.0030406915564875096,44
Giulia Berton,0.0030243180133807763,45
Silvia Ciccarella,0.0029674016531275383,46
Xin Xin,0.0029433835229022644,47
Elea Linka,0.0028508154864013073,48
Krystyna Panchishko,0.002814034978418754,49
Cecilia Biagioli,0.002776331920011341,50
Luca Vas,0.00271832608404682,51
Tsz Yin Nip,0.002551275470586612,52
Onon Katalin Somenek,0.0025448473052478078,53
Orian Gablan,0.0025144307150893296,54
Lenka Sterbova,0.0024064035883016952,55
Ekaterina Sorokina,0.002369316245176367,56
Kate Farley Sanderson,0.002342767984590725,57
Ashley Twichell,0.0023248969519053535,58
Serena Stel,0.0023055048300161247,59
Yumi Kida,0.0023034176952035153,60
Finnia Wunram,0.0022731586269988577,61
Eden Girloanta,0.0022070813798460496,62
Yana Kurtseva,0.00218371420853981,63
Narin Burcunaz,0.0021408911128234422,64
Alisia Tettamanzi,0.0021149155252336506,65
Airi Ebina,0.001971919874069712,66
Arianna Valloni,0.0019119227386254272,67
Veronica Santoni,0.0018527025565857804,68
Omer Shwartz,0.001651271875210789,69
Candela Sanchez Lora,0.0016211331057262236,70
Diana Taszhanova,0.0015855185877777195,71
Jannette Spiwoks,0.0015639090424058614,72
Sofia Kolesnikova,0.001471718810823077,73
Anna Auld,0.0014627490582196105,74
Amica De Jager,0.0014411131086679244,75
Candela Giordanino,0.0014296351066293215,76
Catherine Francis Van Rensburg,0.0014066249786619245,77
Summer Smith,0.0013996906443071878,78
Danielle Huskisson,0.0013651766768456863,79
Jiake Sun,0.0013535832482346596,80
Rebecca Talanti,0.0013507904560143985,81
Romina Soledad Imwinkelried,0.0013089408932037724,82
Johanna Enkner,0.0012792843182185556,83
Martha Sandoval,0.001244324187083212,84
Jacqueline Davison-Mcgovern,0.0012331743450883239,85
