name,pagerank,rank
Sharon Van Rouwendaal,0.07299664490419477,1
Leonie Beck,0.07276554306601299,2
Ana Marcela Cunha,0.06656404453900938,3
Ginevra Taddeucci,0.0474763990202437,4
Giulia Gabbrielleschi,0.04006276153362284,5
Anna Olasz,0.032087201640154654,6
Angelica Andre,0.031983966811642624,7
Aurelie Muller,0.026290425421782164,8
Chelsea Gubecka,0.0238657932754759,9
Barbara Pozzobon,0.023525706448549004,10
Lea Boy,0.023337400396978764,11
Caroline Laure Jouisse,0.021774759024150058,12
Jeannette Spiwoks,0.020814251658256906,13
Oceane Cassignol,0.01953039498468951,14
Rachele Bruni,0.01892464579939687,15
Viviane Jungblut,0.017951397894614786,16
Maria De Valdes,0.016370900301414158,17
Moesha Johnson,0.012495748577603806,18
Lisa Pou,0.01202395626758322,19
Reka Rohacs,0.011983857220782755,20
Mafalda Rosa,0.011783577219324538,21
Martina De Memme,0.011762227319860845,22
Lara Grangeon De Villele,0.01048755134374176,23
Mariah Denigan,0.009080241950734622,24
Mira Szimcsak,0.00892851125667736,25
Kareena Lee,0.008924360861800559,26
Spela Perse,0.008442055022688877,27
Vivien Balogh,0.00815434007555813,28
Katie Grimes,0.008035847898821977,29
Paula Ruiz Bravo,0.00754424804507003,30
Madelon Catteau,0.006688237784056604,31
Eva Fabian,0.006467258682093383,32
Bettina Fábián,0.005362448419034445,33
Samantha Arevalo,0.005197645421501741,34
Alice Dearing,0.005074402523905852,35
Alena Benesova,0.004769745577455827,36
Arianna Bridi,0.004334916777918575,37
Maria Bramont-Arias,0.004051695398894171,38
Angela Martinez Guillen,0.004009787154863062,39
Sofie Callo,0.00376391646269489,40
Haley Anderson,0.003681942578170655,41
Xin Xin,0.003654417425389677,42
Anastasiia Kirpichnikova,0.003352075216052906,43
Giulia Berton,0.00317706687156494,44
Silvia Ciccarella,0.0030601102037280782,45
Krystyna Panchishko,0.002968571160252373,46
Cecilia Biagioli,0.0029433749145911137,47
Luca Vas,0.0029408715461119264,48
Onon Katalin Somenek,0.0029189972499159794,49
Tsz Yin Nip,0.0028747362076968893,50
Elea Linka,0.002828093663233539,51
Finnia Wunram,0.0025644017564550523,52
Ashley Twichell,0.002546494305408903,53
Ekaterina Sorokina,0.0025238225391893865,54
Yumi Kida,0.002475274213668577,55
Kate Farley Sanderson,0.0024352792161241536,56
Lenka Sterbova,0.0024025589127217475,57
Bianca Crisp,0.0023549101274763077,58
Serena Stel,0.0023475131570441397,59
Yana Kurtseva,0.0022852864432397566,60
Alisia Tettamanzi,0.002162245145158237,61
Narin Burcunaz,0.0020755431237639644,62
Airi Ebina,0.0020159490541718818,63
Arianna Valloni,0.0019569797246341766,64
Veronica Santoni,0.0019016997021479578,65
Diana Taszhanova,0.001815214823781249,66
Romina Soledad Imwinkelried,0.0017173718212176552,67
Jannette Spiwoks,0.001715347357431807,68
Orian Gablan,0.0016052546815699463,69
Jiake Sun,0.0015522699861102082,70
Candela Sanchez Lora,0.0015520144004761878,71
Danielle Huskisson,0.0015478674929397865,72
Sofia Kolesnikova,0.0015110951954399165,73
Amica De Jager,0.001496570097690829,74
Pilar Geijo,0.0014935708222544911,75
Candela Giordanino,0.0014769100555226207,76
Anna Auld,0.0014568167356280803,77
Catherine Francis Van Rensburg,0.0014377560564999975,78
Vivien Nett,0.0014077876936422738,79
Eden Girloanta,0.0014071543578033103,80
Summer Smith,0.0013883422847523685,81
Rebecca Talanti,0.0013789914652885982,82
Isabella Sinisi,0.001328313113371269,83
Johanna Enkner,0.0013245316351697199,84
Martha Sandoval,0.0012840668811958645,85
Li-Shan Chantal Liew,0.0012442797974234186,86
Zsofia Varga,0.001239368685128803,87
Valeriia Ermakova,0.0012272679507058086,88
Iris Menechini,0.0012102816568139284,89
Tal Ashkenazi,0.0011913820800356998,90
Marie Kuntzmann,0.001169431765709618,91
Ella Dyson,0.0011492717907690643,92
Sevim Eylul Supurgeci,0.001120366468683308,93
Pac Tung Nikita Lam,0.001106357641266268,94
Noa Barderan,0.0010813002339677227,95
Yukimi Moriyama,0.0010767585561455436,96
Morgane Dornic,0.0010614517300838815,97
Paola Perez,0.0010576798927010313,98
Kincso Gal,0.0010448997452455818,99
Alessia Ossoli,0.0010268005311010581,100
Minami Niikura,0.0010226851714819239,101
Xiaoming Ma,0.001009077246837253,102
Emili Seyevich,0.0010037385682369693,103
Michelle Weber,0.0009909232503924315,104
Madisyn Armstrong,0.0009832894611022697,105
Ellen Olsson,0.0009541814799264518,106
Gili Weltman,0.000937343393909303,107
Mariia Novikova,0.0009372754913173032,108
Katja Fain,0.0009277768314772912,109
Abby Dunford,0.0009266788598368399,110
Sofie Callo Von Platen,0.0009209125269060204,111
Emily Clarke,0.0009025158046515977,112
Clemence Coccordano,0.0008970974710958575,113
Tuna Erdogan,0.0008819395692538484,114
Veronika Volikov,0.0008798168985935472,115
