name,pagerank,rank
Arianna Bridi,0.06915555423048327,1
Ana Marcela Cunha,0.06865627815784077,2
Rachele Bruni,0.06733919426904747,3
Aurelie Muller,0.04831326317527565,4
Samantha Arevalo,0.03997570423211361,5
Sharon Van Rouwendaal,0.035989016014973986,6
Finnia Wunram,0.033248025641966356,7
Haley Anderson,0.026382996319731115,8
Anna Olasz,0.024772857937027618,9
Viviane Jungblut,0.02303048118988538,10
Poliana Okimoto Cintra,0.02137535154795894,11
Xin Xin,0.02103407714038826,12
Chelsea Gubecka,0.019420690074872644,13
Anastasiia Krapivina,0.01925854996095693,14
Ashley Twichell,0.018038077657285316,15
Angela Maurer,0.015390807162374568,16
Giulia Gabbrielleschi,0.013824718208984732,17
Yukimi Moriyama,0.013108773668955357,18
Cecilia Biagioli,0.012592219437195244,19
Danielle Huskisson,0.010462185156479866,20
Martina Grimaldi,0.010251865844303876,21
Leonie Beck,0.010102540124757219,22
Kareena Lee,0.009577960517336566,23
Oceane Cassignol,0.0094786154328429,24
Yumi Kida,0.009271889440774835,25
Keri-Anne Payne,0.00906822132345738,26
Sarah Bosslet,0.00902617263440661,27
Paula Ruiz Bravo,0.008341774737220024,28
Esmee Vermeulen,0.008149779232891036,29
Isabelle Harle,0.007793483847227989,30
Kalliopi Araouzou,0.00713680924110758,31
Siyu Yan,0.006486569632110179,32
Angelica Andre,0.006121442621766594,33
Becca Mann,0.0058916523257113084,34
Michelle Weber,0.0058504076596142965,35
Barbara Pozzobon,0.005390971761551125,36
Adeline Furst,0.005038314983741877,37
Valeriia Ermakova,0.005030216035483326,38
Svenja Zihsler,0.004998442149466691,39
Julia Arino,0.004764990071920164,40
Lara Grangeon De Villele,0.004522939594517361,41
Olga Kozydub,0.004454807836044347,42
Alice Dearing,0.004412386901376389,43
Justyna Burska,0.004405594461298366,44
Eva Risztov,0.004320120832640028,45
Spela Perse,0.0042345808055097986,46
Minami Niikura,0.003997879234241003,47
Onon Katalin Somenek,0.003683441648499186,48
Lea Boy,0.0036332985762764594,49
Maria De Valdes,0.003569838517004689,50
Daria Kulik,0.003455750009874655,51
Ilaria Raimondi,0.0034473932760176297,52
Alice Franco,0.0031767538656529825,53
Alena Benesova,0.003117612086456946,54
Emily Brunemann,0.002963143800785257,55
Joanna Zachoszcz,0.0028912999453605025,56
Jazmin Carlin,0.0028793536196072863,57
Jade Dusablon,0.0025549041465703676,58
Martina De Memme,0.002545453156244488,59
Stephanie Horner,0.0025249905273475727,60
Caroline Laure Jouisse,0.0024922127969420936,61
Muran Tian,0.0024314385333583056,62
Erica Sullivan,0.0023997593285875925,63
Kiah Melverton,0.0023830548629359015,64
Jeannette Spiwoks,0.002348673491337587,65
Heidi Gan,0.0022523729122492907,66
Nataly Caldas Calle,0.002219447339861343,67
Erika Villaecija,0.0021778528610911247,68
Eden Girloanta,0.0021652393715444612,69
Shan Lei,0.002142387664442218,70
Paola Perez,0.002100342523408981,71
Eva Fabian,0.002093344979545786,72
Isabella Rongione,0.001993831266675683,73
Sofia Kolesnikova,0.0018806359296676919,74
Fang Qu,0.0018120217905092824,75
Lenka Sterbova,0.0017463832953155253,76
Vania Neves,0.0017178447278036225,77
Nikoletta Kiss,0.001685986461950347,78
Breanne Emma Joan Siwicki,0.0016783416671534773,79
Martina Rita Caramignoli,0.0016669113616109164,80
Nikolett Szilagyi,0.0016579573925277118,81
Anna Mankevich,0.0016196668800748306,82
Jana Pechanova,0.0015595275499620668,83
Silvie Rybarova,0.0015489962046818522,84
Betina Lorscheitter,0.0015043357399946572,85
Ginevra Taddeucci,0.0014840558121687725,86
Krystyna Panchishko,0.0014594378736361852,87
Pilar Geijo,0.0014439623218489642,88
Sabryna Lavoie,0.0014346626421907764,89
Chaya Simone Zabludoff,0.001397502020434236,90
Alisia Tettamanzi,0.0013973790562429934,91
Souad Nefissa Cherouati,0.0013855192834040355,92
Xeniya Romanchuk,0.001376302616507104,93
Ophelie Aspord,0.0013398420269354464,94
Judith Navarro Silvestre,0.001339009774555402,95
Astridi Turbe,0.0013273773319050688,96
Aurora Ponsele,0.001326527836864986,97
Ellen Olsson,0.0012785293387830568,98
Xu Chu,0.0012781420458222448,99
Morgane Dornic,0.001276602751747544,100
Luomeng Ren,0.0012465877051598027,101
Daphnée Demers,0.001231798119439088,102
Dandan Yang,0.0012316015360605338,103
Martha Aguilar Ortega,0.001178246516365279,104
Xiaolin Yang,0.0011366064453062594,105
Anastasiia Azarova,0.0011235394027874998,106
Lisa Pou,0.0011212449696638431,107
Mahina Nicole Valdivia Dannenberg,0.0011133115203695743,108
Chase Travis,0.0010825754122321426,109
Maryna Kyryk,0.0010807645438353146,110
Catalina Berraud,0.001060572807530954,111
Adel Farkas,0.0010500238442469779,112
Charlotte Webby,0.0010277244678560714,113
Reka Rohacs,0.0010238245082624436,114
Mireia Belmonte,0.0010081247617252057,115
Katy Campbell,0.0009557001107478574,116
Vicenia Navarro,0.0009442033807125263,117
Andrea Terriault,0.0009361170522731866,118
Mackenzie Brazier,0.0009323543352612619,119
Maria Romero,0.0009182922831809427,120
Franzi Heinrich,0.0009170889204111869,121
Liliana Hernandez,0.0009034895547335211,122
Janka Juhasz,0.0009028363049788178,123
Emilie Cahuzac,0.000897035377248538,124
Dora Sztankovics,0.0008967796292892302,125
Reem Kaseem,0.0008921321486374694,126
Aygul Sagirova,0.0008908870869257168,127
Sarah Thompson,0.0008870044141205743,128
Cathryn Salladin,0.0008860055380269647,129
Lauren Teghtsoonian,0.000882842839589318,130
Maria Bramont-Arias,0.0008782857240257978,131
Marie-Laurence Lortie,0.0008777243402032235,132
Melinda Novoszath,0.0008752805030584395,133
Kristel Kobrich,0.0008667271935026956,134
Mariia Novikova,0.0008526342485322979,135
Robyn Kinghorn,0.0008508135997653539,136
Daria Klimova,0.0008473161484684813,137
Rita Vanesa Garcia,0.00084467185062192,138
Karelis Del Carmen Clemant Materano,0.0008415508775812799,139
Xiaoxiao Niu,0.0008381772449924013,140
Mayte Puca,0.000837458713466905,141
Maria Jose Mata Cocco,0.0008371554229554742,142
Alba Romero,0.000830094454390371,143
Victoria Mori,0.0008254395500693983,144
Elise Houllier,0.0008213704724857496,145
Hannah Riordan,0.0008124552713040076,146
Avital Flishman,0.0008072680924817746,147
Hoi Man Lok,0.0007952355268625316,148
Leonie Van Noort,0.0007872489231780927,149
Taylorpike,0.0007840883683319522,150
Jelena Jecanski,0.0007717325204816477,151
Laura Dressayre,0.0007709614543181014,152
Karla Sitic,0.000766461943116724,153
Charlyne Secrestat,0.0007599061213666985,154
Agueda Cons,0.0007584617727800927,155
Shiyue Cao,0.00075338208046187,156
Cherelle Tahnee Oestringer,0.000749179208168754,157
Nilay Erkal,0.0007432952531544995,158
Jackie Gade,0.0007432690887725238,159
Florencia Mazzei Villegas,0.0007419609792372056,160
Annet Borsi,0.0007415634507816407,161
Ruthseli Guadalupe Aponte Teran,0.0007405273949158157,162
Sophie Evans,0.0007390622251364133,163
Anne-Catherine Savaria,0.0007389006407233883,164
Eva Bonnet,0.0007315372916814058,165
Marit Anderson,0.000729633698559576,166
Laerke Toft Ruby,0.000728902739115359,167
Margaux Guillaume,0.0007268323475052066,168
Doris Beros,0.0007212546270859285,169
Maria Vilas,0.000719752267215674,170
Maggie Wallace,0.0007170335263412696,171
Dina Levacic,0.0007142443495741857,172
Zaira Cardenas,0.0007122521394623766,173
Victoria Mock,0.0007116378234654633,174
Mia Desjarlais,0.0007109033028598828,175
Esther Nunez Morera,0.0007101897826845429,176
Jimena Perez Blanco,0.0007035886732746743,177
Sara E Holman,0.0007016267211616743,178
Paula Goyanes,0.0006990430014745281,179
Mor Jacob,0.0006960522387773243,180
Fatima Flores,0.0006912208500378028,181
Connie Mcclelland,0.0006881947796462836,182
Angelina Kargaltseva,0.0006879672335903674,183
Morgane Garcia,0.0006878539566295253,184
Catarina Cucatti Ganzeli,0.0006856997890507194,185
Chloe Gubecka,0.0006845264717961559,186
Borbala Szalai,0.0006820406509021471,187
Pac Tung Nikita Lam,0.0006785207443261617,188
Sandy Atef,0.0006757290043169416,189
Fabianalamberti,0.0006733722157434027,190
Gwenaelle Plonquet-Thibault,0.0006725850230083407,191
Sasha-Lee Nordengen-Corris,0.0006723283415047305,192
Rotem Meirov,0.0006705939671413849,193
Tali Lemcoff,0.0006686909749806739,194
Fiona On Yi Chan,0.0006677270099260784,195
Tsz Yin Nip,0.0006661642481943956,196
Lila Langlais,0.0006658429987192288,197
Nina Rakhimova,0.0006624125412252109,198
Cho Ying Wong,0.0006612911511921076,199
Fanni Kun-Szabo,0.0006562107955238,200
Alessandra Colombini,0.0006544815414620984,201
Claire Six,0.0006540150666625652,202
Heba Elkhouly,0.0006537103308495692,203
Ines Idier,0.0006531550923485098,204
Carmen Le Roux,0.0006529197136045365,205
Karolina Dubcakova,0.000651411945137462,206
Martha Sandoval,0.000648550374875512,207
Stephanie Karin Romero Serwatka,0.0006450390869103029,208
Adel Juhasz,0.0006449030504748567,209
Patricia Guerrero,0.0006427830195177671,210
Inis Idier,0.0006426350706203301,211
Rosalie Levesque-Pero,0.00064225625539258,212
Hanna Bakuniak,0.0006416699191162142,213
Honoka Hasegawa,0.0006406415821407774,214
Sofiia Zubenko,0.0006393454082060035,215
Lee Tiffany Wanfung,0.000637473271560941,216
Angelica Astorga,0.0006368617488927249,217
Celeste Vereecke,0.0006343127207655875,218
Ecem Donmez,0.0006335703870126782,219
Nikitha Setru Venugopal,0.0006319441101685542,220
Caitlin Nolan,0.0006299072482692257,221
Cho Yiu Kwok,0.0006286632759375983,222
Merle Liivand,0.0006273439670070287,223
Mariam Abdelrahman Elsayed Sakr,0.0006258719916288805,224
Charline Mace,0.0006220524689033426,225
Bar Goldin,0.0006210196302023932,226
Tiffany Wan Fung Lee,0.0006210024796857056,227
Catarinaganyeuli,0.0006206195536543122,228
Raquel Duran,0.0006177962074375395,229
Hannah Hang Fung Li,0.0006171453505550149,230
Elena Lionello,0.000616758068851642,231
Shih-Hansu,0.0006147540983606559,232
Romina Soledad Imwinkelried,0.0006147540983606559,233
Antonija Bulicic,0.0006147540983606559,234
Rachel Wothrich,0.0006147540983606559,235
Cindy Toscano,0.0006147540983606559,236
María Celeste Puñet,0.0006147540983606559,237
Jill Reich,0.0006147540983606559,238
Ming Yu Claudia Wong,0.0006147540983606559,239
Emma Wael,0.0006147540983606559,240
Mary E Holman,0.0006147540983606559,241
Claudia Giralt Pidemont,0.0006147540983606559,242
Dana Khaled Abdelmoneim Akl,0.0006147540983606559,243
Sheung Wai Ho,0.0006147540983606559,244
