name,pagerank,rank
Leonie Beck,0.07340234238075932,1
Sharon Van Rouwendaal,0.06510666401857372,2
Ana Marcela Cunha,0.04989057129429387,3
Ginevra Taddeucci,0.0464272438823803,4
Giulia Gabbrielleschi,0.03665121642365412,5
Chelsea Gubecka,0.02968229350100756,6
Angelica Andre,0.02941001965479114,7
Aurelie Muller,0.027664496990709123,8
Caroline Laure Jouisse,0.026067633318141714,9
Lea Boy,0.026049185618853665,10
Anna Olasz,0.025855181577032663,11
Barbara Pozzobon,0.02096619425077748,12
Katie Grimes,0.019336724999901293,13
Viviane Jungblut,0.019053992515484695,14
Bettina Fábián,0.018936703178263178,15
Jeannette Spiwoks,0.017290992983481,16
Oceane Cassignol,0.015017249505295186,17
Mariah Denigan,0.014833536788264523,18
Moesha Johnson,0.013823403908577416,19
Rachele Bruni,0.013740591746867653,20
Mafalda Rosa,0.013026072101896206,21
Arianna Bridi,0.012213837125816352,22
Reka Rohacs,0.011978683815016516,23
Maria De Valdes,0.011226409916895861,24
Mira Szimcsak,0.010614915190289346,25
Lara Grangeon De Villele,0.009703232969797242,26
Angela Martinez Guillen,0.008959236482360022,27
Lisa Pou,0.008712275369436731,28
Spela Perse,0.00855013076438532,29
Eva Fabian,0.008004185244146322,30
Martina De Memme,0.00798370561103258,31
Vivien Balogh,0.0064521625801366896,32
Maria Bramont-Arias,0.0061227478502044385,33
Sofie Callo,0.005340231659802178,34
Anastasiia Kirpichnikova,0.005108764787781624,35
Madeline Claire Gough,0.005104130634851107,36
Kareena Lee,0.005058454772864641,37
Madelon Catteau,0.005019525146563205,38
Alena Benesova,0.004794487657319257,39
Candela Sanchez Lora,0.004411102540320368,40
Airi Ebina,0.003971299797124298,41
Leah Crisp,0.00381283236979197,42
Silvia Ciccarella,0.003762887946948912,43
Paula Ruiz Bravo,0.003731035134903594,44
Ashley Twichell,0.0032754833114498885,45
Cecilia Biagioli,0.003092762664887188,46
Giulia Berton,0.0029532328762466174,47
Tsz Yin Nip,0.0028034517954613433,48
Amber Chloe Keegan,0.002746453863079571,49
Veronica Santoni,0.002702408082401624,50
Celine Rieder,0.0027024067168960643,51
Alice Dearing,0.0026170266840317125,52
Bianca Crisp,0.002593781672019071,53
Lenka Sterbova,0.0025759796436225038,54
Candela Giordanino,0.002560609757933887,55
Samantha Arevalo,0.0024880479903292814,56
Elea Linka,0.0024738577816946976,57
Julie Pleskotova,0.0023864754282439155,58
Martha Sandoval,0.0023644677515894134,59
Orian Gablan,0.0023472364583302353,60
Alisia Tettamanzi,0.0022654626917303603,61
Kensey Mcmahon,0.0021598403933322454,62
Luca Vas,0.002138183058219485,63
Eden Girloanta,0.001973620417472042,64
Xin Xin,0.0019397204856013012,65
Emma Micheletti,0.001858400074226722,66
Krystyna Panchishko,0.0018231966187260756,67
Narin Burcunaz,0.0017996990578965878,68
Diana Taszhanova,0.001797765011013322,69
Arianna Valloni,0.0016739638675070303,70
Amica De Jager,0.0016441399294376043,71
Serena Stel,0.0015866655785666968,72
Jiake Sun,0.0015700940733918106,73
Omer Shwartz,0.0014794435882367948,74
Iris Menechini,0.0014773273224987548,75
Haley Anderson,0.0014565248469303928,76
