name,pagerank,rank
Leonie Beck,0.07681268961037356,1
Ana Marcela Cunha,0.06751446604070227,2
Sharon Van Rouwendaal,0.06330651516581667,3
Giulia Gabbrielleschi,0.03849837302239982,4
Anna Olasz,0.033816597599211844,5
Ginevra Taddeucci,0.028848108579174317,6
Angelica Andre,0.02382268890671209,7
Lea Boy,0.02268488533996502,8
Barbara Pozzobon,0.02241067983793432,9
Rachele Bruni,0.022225850324106764,10
Caroline Laure Jouisse,0.021571948473944943,11
Oceane Cassignol,0.02144230984473653,12
Jeannette Spiwoks,0.019566726191569628,13
Aurelie Muller,0.018728412255866668,14
Lara Grangeon De Villele,0.016850532620403418,15
Viviane Jungblut,0.01466755800192377,16
Maria De Valdes,0.013736920867507994,17
Kareena Lee,0.013224235080323719,18
Mafalda Rosa,0.012684139830186555,19
Martina De Memme,0.012313160208044818,20
Reka Rohacs,0.011200814778711734,21
Lisa Pou,0.011163094222512476,22
Arianna Bridi,0.010449950289952707,23
Paula Ruiz Bravo,0.010365071235375741,24
Moesha Johnson,0.009105003772837607,25
Haley Anderson,0.008896879000795752,26
Spela Perse,0.008449774079892485,27
Samantha Arevalo,0.007706845350468924,28
Katie Grimes,0.00757981609259475,29
Xin Xin,0.0070457324929109584,30
Vivien Balogh,0.006963378719619045,31
Alice Dearing,0.006810400618879591,32
Chelsea Gubecka,0.006435073323839897,33
Eva Fabian,0.005893612203324897,34
Madelon Catteau,0.005383255067202053,35
Alena Benesova,0.005297526100990996,36
Mariah Denigan,0.005260900114754064,37
Finnia Wunram,0.005072309258975637,38
Ashley Twichell,0.004917735230350924,39
Mira Szimcsak,0.004656859200960267,40
Maria Bramont-Arias,0.004587474088997572,41
Anastasiia Kirpichnikova,0.004439921171218077,42
Onon Katalin Somenek,0.0039027075912558547,43
Cecilia Biagioli,0.0037786679283867645,44
Sofie Callo,0.0037539140728925515,45
Krystyna Panchishko,0.003744131458921896,46
Yumi Kida,0.0034364725265428934,47
Bettina Fábián,0.003339145008849872,48
Giulia Berton,0.0033054493803104565,49
Silvia Ciccarella,0.003265360399545977,50
Serena Stel,0.0031377979296603356,51
Kate Farley Sanderson,0.0031116768857999202,52
Danielle Huskisson,0.0030122654289997026,53
Ekaterina Sorokina,0.0027149606734211936,54
Lenka Sterbova,0.00265843647818874,55
Luca Vas,0.002577571813284566,56
Yana Kurtseva,0.0024093035255019503,57
Elea Linka,0.002304434875667718,58
Alisia Tettamanzi,0.002139690710627669,59
Bianca Crisp,0.00203701471093054,60
Jannette Spiwoks,0.0019909407093188372,61
Orian Gablan,0.0018063700823672557,62
Airi Ebina,0.0017917076266790186,63
Romina Soledad Imwinkelried,0.0017726429888746242,64
Angela Martinez Guillen,0.0017699071422022524,65
Hannah Moore,0.001737382551583292,66
Stephanie Horner,0.0016909445219732192,67
Tsz Yin Nip,0.0016308455135190022,68
Narin Burcunaz,0.0016140110137237052,69
Eden Girloanta,0.0016055089379259663,70
Isabella Sinisi,0.0015700386089820195,71
Arianna Valloni,0.0015561342409541948,72
Madisyn Armstrong,0.0015534334345717483,73
Sofia Kolesnikova,0.0015279688482189397,74
Morgane Dornic,0.0015226921197142185,75
Minami Niikura,0.0014631810722957896,76
Jiake Sun,0.0014261218775725418,77
Valeriia Ermakova,0.0013863686540421557,78
Amica De Jager,0.0013737655596843916,79
Mariia Novikova,0.0013597918359735959,80
Diana Taszhanova,0.001341509703468744,81
Martha Sandoval,0.0013330082555342558,82
Emily Clarke,0.0013094505707393392,83
Ellen Olsson,0.0012954160242179306,84
Catherine Francis Van Rensburg,0.0012750660678241658,85
Summer Smith,0.0012740095967043391,86
Esmee Vermeulen,0.0012595587770095414,87
Veronica Santoni,0.0012478529005097595,88
Helvina Huet,0.001244447962268256,89
Candela Giordanino,0.0012065428665381872,90
Maria Vilas,0.0011978130851721391,91
Johanna Enkner,0.0011666396729032623,92
Paola Perez,0.0011395223243036978,93
Candela Sanchez Lora,0.001139202290431754,94
Michelle Weber,0.001138892091025038,95
Claire Six,0.0011295787600242618,96
Maisie Emily Macartney,0.0011074994677776262,97
Marie Kuntzmann,0.0010948667736068543,98
Celia Heurtaux,0.001091608996134814,99
Justyna Burska,0.001082909288934442,100
Nolwenn Nunes,0.0010618440860202805,101
Claudia Giralt Pidemont,0.0010618237952752102,102
Ilona Maille,0.0010353472744748062,103
Alice Franco,0.0010337385038440019,104
Lean Cabon,0.0010315908758748355,105
Vivien Nett,0.0010296992435724658,106
Carla Goyanes Garcia,0.001009501233942737,107
Pilar Geijo,0.0009882846224148374,108
Fuwei Dong,0.0009717365581076138,109
Li-Shan Chantal Liew,0.0009686565449440285,110
Rebecca Talanti,0.0009477358908200168,111
Julie Pleskotova,0.0009295915431060793,112
Anna Fave,0.0009161067458856612,113
Yawen Hou,0.0009158955923525975,114
Iris Menechini,0.0009029109930213115,115
Julia Arino,0.0008988147918482194,116
Kalliopi Araouzou,0.0008972772975723375,117
Zsofia Varga,0.0008890181586642906,118
Yukimi Moriyama,0.0008757372558420404,119
Tal Ashkenazi,0.0008713866173207268,120
Laura Rodriguez Santaularia,0.000870358006476281,121
Chloe Gubecka,0.0008651682041917334,122
Anna Auld,0.000846406332960093,123
Kincso Gal,0.0008401750749695509,124
Mackenzie Brazier,0.000835959562499792,125
Lucie Zubalikova,0.0008312725395051008,126
Xiaoming Ma,0.0008278402953448714,127
Sevim Eylul Supurgeci,0.0008249913636386352,128
Elise Houllier,0.0008077350183645544,129
Anastasia Basalduk,0.00079580890654012,130
Angela Maurer,0.0007939865318462659,131
Kenna Delaney Godfrey Smallegange,0.0007934013302098037,132
Daria Volobueva,0.0007787883527456394,133
Emma Calvo,0.0007784437371018832,134
Noa Barderan,0.0007745127257257178,135
Emma Onolfo,0.0007716730610698994,136
Pac Tung Nikita Lam,0.0007648739234940734,137
Alessia Ossoli,0.0007642963290958924,138
Kensey Mcmahon,0.0007480619348059808,139
Alice Bataille,0.000743893118262636,140
Mariana Mendes,0.0007381748121018959,141
Janka Juhasz,0.0007339531529366272,142
Chloe Green,0.0007316044381003654,143
Abby Dunford,0.0007305752482694704,144
Emili Seyevich,0.0007189569279464803,145
Sofia Vakhrusheva,0.0007146579898854809,146
Nora Naessens,0.000711497715935965,147
Katy Campbell,0.0007066731774215741,148
Blanka Berecz,0.000699133075217665,149
Maria Babkina,0.0006968896258957506,150
Marij Van Der Mast,0.000695438949380551,151
Aroa Silva Fidalgo,0.0006785256226030005,152
Cherelle Tahnee Oestringer,0.0006774434826600745,153
Clemence Coccordano,0.0006742211543544169,154
Gili Weltman,0.0006713994542420123,155
Clara Andreea Spanu,0.0006675504400363139,156
Lou-Anne Barniet,0.0006593816622951032,157
Paula Otero Fernandez,0.0006553023746674822,158
Alisa Skorniakova,0.0006541099976190891,159
Petra Mijic,0.0006482005014285643,160
Tuna Erdogan,0.000635465321920069,161
Céleste Vereecke,0.0006308751038465218,162
Klaudia Tarasiewicz,0.0006303355332124935,163
Veronika Volikov,0.0006301944296902617,164
Anastasiia Kostyleva,0.0006294087401949862,165
Andrea Dominguez Casabella,0.0006224078382415168,166
Anastasiia Krapivina,0.000616999231043442,167
Louise Culty,0.0006134513492995085,168
Adeline Furst,0.000609073271953841,169
Andrea Terriault,0.000606171573494568,170
Yumi Tou,0.0006007264834413438,171
Erika Yenssen,0.0005967983827229313,172
Lia Arad,0.0005941226934279877,173
Mélie Boulianne,0.00058965675367617,174
Anna Tymashenko,0.0005866924295209545,175
Emma Micheletti,0.0005784952157429998,176
Lilou Ambrass,0.0005782266859467714,177
Sarah Kohler,0.0005752717121161828,178
Ella Dyson,0.0005724571837654074,179
Fang Qu,0.0005716388332054573,180
Erica Sullivan,0.00056949230736314,181
Solene Cousseau,0.0005672680935646766,182
Chantel Lily Jeffrey,0.0005638449995923818,183
Tamar Delmonte,0.0005622612237101097,184
Yi-Chen Wang,0.000560284188634168,185
Alexia Bouteilly,0.0005567516698061722,186
Katrina Bellio,0.000556725887593621,187
Mathilde Herlem,0.0005566317093203401,188
Giulia Salin,0.0005501837912136259,189
Talya Erdogan,0.0005474156253543387,190
Manoella Barbosa,0.0005466505163303182,191
Becca Mann,0.0005375528871699943,192
Linda Ungerboeck,0.00053693989906031,193
Finella Gibbs-Beal,0.0005350602509065717,194
Maria Claro Martinez,0.0005349124460270532,195
Adi Peleg,0.0005338978977951965,196
Federica Senatore,0.0005300855368793348,197
Ece Yildirim,0.0005292259815825302,198
Martha Aguilar Ortega,0.0005283907750333475,199
Camille Cottier,0.0005275970333010909,200
Siyu Yan,0.0005243364572321971,201
Aricia Peree,0.0005220728445477994,202
Audrey Robert,0.0005186008940753522,203
Eden Botbol,0.0005138911791424419,204
Maria Jose Mata Cocco,0.0005102555511767212,205
Marie-Amélie Henriet,0.0005099320482804116,206
Emily Golos,0.0005084741883575134,207
Fraenzi Heinrich,0.0005043835842600335,208
Carmen Mikusova,0.0005040439227368398,209
Reka Fehervari,0.0005029082922709271,210
Antonia Bulicic,0.0005015725057829239,211
Hsin-Yi Fang,0.0005015033979143164,212
Sandy Atef,0.0005008832431776563,213
Polina Yuzofenko,0.0004958594865023476,214
Melinda Novoszath,0.0004943113421277055,215
Coline Coraboeuf,0.0004935055869966546,216
Martina Oriozabala,0.0004934839995996318,217
Elizaveta Anufrieva,0.0004923347211920987,218
Laerke Toft Ruby,0.0004909264912526193,219
Nefeli Evangelia Giannopoulou,0.0004885506077665509,220
Alissia Montebrun,0.0004857158048464415,221
Elena Tortora,0.0004855859380156677,222
Noga Baruch,0.00048554564405197797,223
Emma Finlin,0.0004853977232151472,224
Varvara Pogorelova,0.0004838999113011047,225
Marie-Laurence Lortie,0.00048362734179187853,226
Pimpun Choopong,0.00048297001789708853,227
Nataly Caldas Calle,0.00048268075879667993,228
Xu Chu,0.0004820866619542816,229
Hayley Pike,0.00048166132539714194,230
Chloé Stutel,0.0004781887593215997,231
Brooke Travis,0.0004764704633208584,232
Veronika Petrekova,0.00047614923907011184,233
Veronika Nikulina,0.00047582527528871037,234
Liliana Hernandez,0.0004753834712101842,235
Ruby Heath,0.0004723467060491828,236
Runa Kasahara,0.00047138499201420964,237
Fatima Portillo,0.0004711531396593006,238
Maëlys Fourmy,0.0004709110430745897,239
Jeongmin Lee,0.00047045473705561525,240
Stephanie Houtman,0.00046944576660777767,241
Sophia Irem Iskenderoglu,0.0004686241116585055,242
Yu-Wen Teng,0.00046819674377210905,243
Marlene Blanke,0.00046798759020278205,244
Mariia Bondarenko,0.0004665106499052029,245
Robyn Kinghorn,0.00046606043641136497,246
Vasiliki Kadoglu,0.00046522263525288106,247
Yi Chen Hsieh,0.0004650064334115753,248
Ayala Chudy,0.00046475401697644667,249
Clémence Coccordano,0.0004621198241131205,250
Omer Shwartz,0.0004605916775553311,251
