name,pagerank,rank
Arianna Bridi,0.0694844927208001,1
Ana Marcela Cunha,0.06905677882107907,2
Rachele Bruni,0.06718658942430529,3
Aurelie Muller,0.04820882146676191,4
Samantha Arevalo,0.04027571356712849,5
Sharon Van Rouwendaal,0.035855259319829635,6
Finnia Wunram,0.03337676342702552,7
Haley Anderson,0.02643484543060963,8
Anna Olasz,0.02487280408927261,9
Viviane Jungblut,0.02331940687885646,10
Poliana Okimoto Cintra,0.020976807826956736,11
Xin Xin,0.020835253544239395,12
Chelsea Gubecka,0.019458944873051075,13
Anastasiia Krapivina,0.019167243991447355,14
Ashley Twichell,0.018095849906137655,15
Angela Maurer,0.015298370467966456,16
Giulia Gabbrielleschi,0.013805348197871142,17
Yukimi Moriyama,0.013218731346975439,18
Cecilia Biagioli,0.012467411424548921,19
Danielle Huskisson,0.010420467754432006,20
Leonie Beck,0.010246276662480767,21
Martina Grimaldi,0.010190383585133727,22
Kareena Lee,0.009569946996894407,23
Oceane Cassignol,0.009474805631780502,24
Yumi Kida,0.00918673464431215,25
Sarah Bosslet,0.009058908174680944,26
Keri-Anne Payne,0.008832273030214832,27
Paula Ruiz Bravo,0.008409936668776846,28
Esmee Vermeulen,0.008230335264851387,29
Isabelle Harle,0.007646128055210685,30
Kalliopi Araouzou,0.007041164383928691,31
Siyu Yan,0.006502626616221858,32
Angelica Andre,0.006089904637781218,33
Becca Mann,0.005891094775854167,34
Michelle Weber,0.00586616889482728,35
Barbara Pozzobon,0.005401535260297776,36
Valeriia Ermakova,0.005037296855724336,37
Adeline Furst,0.005026111365038582,38
Svenja Zihsler,0.004976378569221215,39
Julia Arino,0.0047939394957222685,40
Lara Grangeon De Villele,0.004541232316853697,41
Alice Dearing,0.0044201707240747855,42
Olga Kozydub,0.004398779147922079,43
Justyna Burska,0.004396462766531856,44
Spela Perse,0.004227728700665793,45
Eva Risztov,0.004214175623330482,46
Minami Niikura,0.00400328574128038,47
Onon Katalin Somenek,0.0037054232366984484,48
Lea Boy,0.003669323851244608,49
Maria De Valdes,0.0036003925724105183,50
Ilaria Raimondi,0.0034404317349639437,51
Daria Kulik,0.0034342137912285646,52
Alice Franco,0.003197635170378717,53
Alena Benesova,0.00312958828706358,54
Emily Brunemann,0.0029319356256848525,55
Jazmin Carlin,0.0029090102428476774,56
Joanna Zachoszcz,0.0028517612689104885,57
Martina De Memme,0.0025658383115593902,58
Jade Dusablon,0.002546440263806963,59
Stephanie Horner,0.0025185657627044148,60
Caroline Laure Jouisse,0.0024560773406366023,61
Muran Tian,0.0024560711712725528,62
Erica Sullivan,0.002418977386007254,63
Kiah Melverton,0.0024024137316637295,64
Jeannette Spiwoks,0.0023683571510558017,65
Heidi Gan,0.002234511853177826,66
Nataly Caldas Calle,0.002222429603464273,67
Eden Girloanta,0.002168194469382516,68
Erika Villaecija,0.002150194864213475,69
Shan Lei,0.002139456169556269,70
Eva Fabian,0.002094710259252011,71
Paola Perez,0.0020659256825692317,72
Isabella Rongione,0.0020064076980713837,73
Sofia Kolesnikova,0.001889308031550225,74
Fang Qu,0.001832255242610899,75
Lenka Sterbova,0.0017513366171566316,76
Vania Neves,0.001714149909589067,77
Breanne Emma Joan Siwicki,0.001682108250971623,78
Martina Rita Caramignoli,0.0016782550795071793,79
Nikoletta Kiss,0.0016710251051667068,80
Nikolett Szilagyi,0.001658504156721007,81
Anna Mankevich,0.001634899132418465,82
Jana Pechanova,0.0015401931527465216,83
Silvie Rybarova,0.0015386745472737587,84
Betina Lorscheitter,0.0015101889757319644,85
Ginevra Taddeucci,0.0014900112561877293,86
Krystyna Panchishko,0.0014644296227131447,87
Pilar Geijo,0.0014442992236792863,88
Sabryna Lavoie,0.001435567896173669,89
Chaya Simone Zabludoff,0.001397728966640826,90
Alisia Tettamanzi,0.0013940198416747284,91
Souad Nefissa Cherouati,0.0013881664708474094,92
Xeniya Romanchuk,0.0013790969217865937,93
Judith Navarro Silvestre,0.0013390887696382897,94
Ophelie Aspord,0.0013302081953590092,95
Astridi Turbe,0.0013197592856928045,96
Aurora Ponsele,0.0013139534325487283,97
Xu Chu,0.001290044537677341,98
Ellen Olsson,0.0012786115901840664,99
Morgane Dornic,0.0012735501054927344,100
Luomeng Ren,0.0012394733230291105,101
Daphnée Demers,0.0012328052217780638,102
Dandan Yang,0.0012253070825481906,103
Martha Aguilar Ortega,0.0011779607573196454,104
Xiaolin Yang,0.00113069652893741,105
Lisa Pou,0.001120971105752936,106
Anastasiia Azarova,0.0011127555798287486,107
Mahina Nicole Valdivia Dannenberg,0.0011116060108056617,108
Chase Travis,0.0010863893209537847,109
Maryna Kyryk,0.0010807313312830732,110
Catalina Berraud,0.0010588580730364595,111
Adel Farkas,0.0010501118490503383,112
Charlotte Webby,0.0010283117455105555,113
Reka Rohacs,0.0010258461418923227,114
Mireia Belmonte,0.0010040403989438735,115
Katy Campbell,0.000957718404773504,116
Vicenia Navarro,0.0009455609007494999,117
Andrea Terriault,0.0009334177191742813,118
Mackenzie Brazier,0.0009329396944374545,119
Maria Romero,0.0009173972914177185,120
Franzi Heinrich,0.0009165628924485492,121
Janka Juhasz,0.0009046047502603693,122
Liliana Hernandez,0.0008999415007011776,123
Dora Sztankovics,0.0008985504039562677,124
Emilie Cahuzac,0.0008972975247073886,125
Reem Kaseem,0.0008912214409054489,126
Cathryn Salladin,0.000888328898781164,127
Aygul Sagirova,0.0008880973584306873,128
Sarah Thompson,0.0008835175746345286,129
Lauren Teghtsoonian,0.0008815534975063705,130
Maria Bramont-Arias,0.0008798843193618161,131
Marie-Laurence Lortie,0.0008780367623996254,132
Melinda Novoszath,0.0008769949607443587,133
Kristel Kobrich,0.0008640243726264703,134
Mariia Novikova,0.0008526466872317347,135
Robyn Kinghorn,0.0008521999593569322,136
Daria Klimova,0.0008476165119129548,137
Rita Vanesa Garcia,0.000843597467837932,138
Maria Jose Mata Cocco,0.0008387634573898086,139
Karelis Del Carmen Clemant Materano,0.0008384657462517972,140
Mayte Puca,0.0008376943674165109,141
Xiaoxiao Niu,0.0008363592794998057,142
Alba Romero,0.0008292854269879278,143
Victoria Mori,0.0008251027426493362,144
Elise Houllier,0.0008214446273679711,145
Hannah Riordan,0.0008114497285003561,146
Avital Flishman,0.0008071496985479602,147
Hoi Man Lok,0.0007952555408090769,148
