athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Richard Nagy,SVK,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6744.80,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Poort,AUS,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6744.90,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6745.40,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,AUS,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6748.10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,JPN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6751.20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Ho,RSA,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6751.60,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventsislav Aydarski,BUL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6752.30,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esteban Enderica Salgado,ECU,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6762.40,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Papp,HUN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6762.40,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Arroyo,ESP,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6764.60,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Abrosimov,RUS,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6766.00,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yohsuke Miyamoto,JPN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6768.70,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erwin Maldonado,VEN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6769.10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Rae Francis Radford,NZL,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6772.80,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Chervynskiy,UKR,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6774.40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan Micka,CZE,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6774.40,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuyi Liu,CHN,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6779.60,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6785.40,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Khudyakov,KAZ,06/12/2016,FINA Olympic Qualifier,"Setubal, POR",10,NW,Neutral,61,6831.20,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
