athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,
Vit Ingeduld,CZE,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7079.80,46,,1050.50,1762.60,,2754.30,3465.60,,4469.00,5214.00,,6347.00,7079.80,,,,,,,,,,,,,,,,,,,
Fernando Betanzos,MEX,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7096.00,47,,1040.10,1752.20,,2747.20,3455.90,4155.00,4465.00,5213.00,,6346.00,7096.00,,,,,,,,,,,,,,,,,,,
Shai Toledano,ISR,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7103.30,48,748.10,1050.30,1758.20,2446.50,2754.40,3469.20,,4469.00,5211.00,,6347.00,7103.30,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7195.60,49,,1060.70,1771.00,,2801.70,3565.90,,4642.00,5402.00,,6515.00,7195.60,,,,,,,,,,,,,,,,,,,
Haythem Abdelkhalek,TUN,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7198.20,50,,1056.30,1781.20,,2797.40,3562.20,,4631.00,5403.00,,6512.00,7198.20,,,,,,,,,,,,,,,,,,,
Bence Balzam,SRB,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7201.40,51,,1047.80,1760.60,,2767.40,3521.80,,4618.00,5405.00,,6512.00,7201.40,,,,,,,,,,,,,,,,,,,
Arturo Perez Vertti Ferrer,MEX,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7253.40,52,,1044.70,1755.80,,2762.80,3503.30,,4617.00,5410.00,,6526.00,7253.40,,,,,,,,,,,,,,,,,,,
Rodrigo Caballero,BOL,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7319.10,53,,1043.00,1760.70,,2759.40,3463.60,,4475.00,5284.00,,6524.00,7319.10,,,,,,,,,,,,,,,,,,,
Pedro Pinotes,ANG,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7406.50,54,754.50,1074.40,1834.40,,2926.10,3690.00,,4787.00,5557.00,,6682.00,7406.50,,,,,,,,,,,,,,,,,,,
Chin Ting Keith Sin,HKG,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7478.10,55,,1051.70,1790.30,,2885.20,3670.00,,4793.00,5591.00,,6738.00,7478.10,,,,,,,,,,,,,,,,,,,
Kenessary Kenenbayev,KAZ,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7514.00,56,,1047.30,1752.40,,2752.20,3497.00,,4627.00,5462.00,,6697.00,7514.00,,,,,,,,,,,,,,,,,,,
Peter Gutyan,SVK,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7567.00,57,,1058.20,1785.80,,2891.30,3673.00,,4812.00,5640.00,,6826.00,7567.00,,,,,,,,,,,,,,,,,,,
Marek Pavuk,SVK,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7634.90,58,,1079.10,1893.70,,3037.10,3855.00,,4977.00,5770.00,,6908.00,7634.90,,,,,,,,,,,,,,,,,,,
Frank Johan Ojarand,EST,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7683.00,59,,1104.30,1902.20,,3032.80,3849.00,,4957.00,5750.00,,6915.00,7683.00,,,,,,,,,,,,,,,,,,,
Youssef Hossameldeen Khalil Hossameldeen,EGY,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7765.30,60,,1052.00,1798.50,,3039.20,3859.00,,5034.00,5843.00,,7013.00,7765.30,,,,,,,,,,,,,,,,,,,
Tsz Fung Tse,HKG,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7772.40,61,,1096.70,1904.00,,3038.70,3855.00,,4968.00,5815.00,,7023.00,7772.40,,,,,,,,,,,,,,,,,,,
Zedheir Torrez,BOL,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7834.10,62,,1078.40,1892.20,,3036.30,3856.00,,5016.00,5864.00,,7064.00,7834.10,,,,,,,,,,,,,,,,,,,
Emilio Avila,GUA,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,7976.80,63,,1052.70,1772.50,,2855.80,3714.00,,4957.00,5833.00,,7123.00,7976.80,,,,,,,,,,,,,,,,,,,
Omkumar Tokalkandiga Hemkumar,IND,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,8032.10,64,,1069.20,1885.50,,3030.70,3859.00,,5034.00,5911.00,,7185.00,8032.10,,,,,,,,,,,,,,,,,,,
Cristofer Lanuza,CRC,07/18/2017,FINA World Championships,"Budapest, HUN",10,NW,Neutral,65,8141.20,65,,1112.90,1914.00,,3078.40,3930.00,,5181.00,6070.00,,7340.00,8141.20,,,,,,,,,,,,,,,,,,,
end,,,2017_07_18_Budapest_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Reymond,FRA,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18166.40,1,,,1113.60,1912.90,2637.60,2984.90,3779.00,,4877.00,5639.00,6337.00,6681.00,7433.00,8151.00,8515.00,9312.00,10022.00,10369.00,11134.00,11845.00,12193.00,12937.00,13619.00,13954.00,14708.00,15390.00,15723.00,16488.00,17174.00,17504.00,"18,166.40"
Matteo Furlan,ITA,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18167.00,2,,,1118.00,1915.10,2646.90,2992.60,3788.00,4528.00,4884.00,5664.00,6351.00,6696.00,7441.00,8164.00,8524.00,9318.00,10027.00,10386.00,11144.00,11844.00,12189.00,12951.00,13621.00,13961.00,14714.00,15395.00,15732.00,16493.00,17178.00,17504.00,"18,167.00"
Evgenii Drattcev,RUS,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18169.80,3,,,1112.10,1914.50,2644.80,2989.40,3782.00,4521.00,4879.00,5648.00,6343.00,6689.00,7434.00,8157.00,8517.00,9314.00,10027.00,10375.00,11138.00,11849.00,12194.00,12945.00,13622.00,13960.00,14712.00,15388.00,15727.00,16491.00,17178.00,17506.00,"18,169.80"
Simone Ruffini,ITA,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18173.10,4,,,1113.90,1910.50,2641.40,2988.80,3785.00,4522.00,4892.00,5661.00,6346.00,6685.00,7431.00,8156.00,8519.00,9313.00,10027.00,10377.00,11136.00,11841.00,12190.00,12943.00,13614.00,13955.00,14710.00,15392.00,15723.00,16489.00,17171.00,17501.00,"18,173.10"
Chip Peterson,USA,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18223.00,5,,,1120.60,1928.90,2652.00,3000.70,3794.00,4531.00,4885.00,5675.00,6346.00,6702.00,7448.00,8171.00,8527.00,9315.00,10030.00,10391.00,11152.00,11853.00,,12948.00,13618.00,13958.00,14711.00,15397.00,15730.00,16491.00,17181.00,17512.00,"18,223.00"
Gergely Gyurta,HUN,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18240.70,6,,,1117.30,1916.30,2641.20,2990.90,3783.00,4513.00,4879.00,5642.00,6339.00,6678.00,7430.00,8160.00,8524.00,9312.00,10030.00,10381.00,11138.00,11848.00,12196.00,12938.00,13625.00,13962.00,14713.00,15400.00,15734.00,16496.00,17186.00,17520.00,"18,240.70"
Vitaliy Khudyakov,KAZ,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18276.10,7,,,1109.70,1898.50,2629.40,2981.30,3768.00,4512.00,4873.00,5645.00,6342.00,6686.00,7431.00,8156.00,8521.00,9307.00,10025.00,10373.00,11133.00,11844.00,12190.00,12950.00,13636.00,13972.00,14718.00,15402.00,15738.00,16492.00,17200.00,17558.00,"18,276.10"
Sergey Bolshakov,RUS,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18289.80,8,,,1131.90,1931.30,2658.10,2999.70,3783.00,4536.00,4891.00,5674.00,6351.00,6689.00,7443.00,8167.00,8527.00,9309.00,10021.00,10390.00,11139.00,11847.00,12204.00,12952.00,13631.00,13964.00,14714.00,15411.00,15748.00,16503.00,17204.00,17563.00,"18,289.80"
Marcel Schouten,NED,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18293.00,9,,,1126.40,1917.90,2645.30,2992.00,3776.00,4518.00,4886.00,5647.00,6337.00,6689.00,7427.00,8160.00,8522.00,9310.00,10029.00,10380.00,11136.00,11848.00,12198.00,12952.00,13633.00,13966.00,14714.00,15402.00,15733.00,16497.00,17203.00,17563.00,"18,293.00"
Andreas Waschburger,GER,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18374.10,10,,,1119.80,1917.60,2645.90,2992.10,3790.00,4524.00,4881.00,5665.00,6349.00,6697.00,7445.00,8166.00,8517.00,9318.00,10024.00,10373.00,11148.00,11849.00,12197.00,12956.00,13638.00,13972.00,14722.00,15419.00,15756.00,16538.00,17281.00,17640.00,"18,374.10"
Soren Dellef Meissner,GER,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18380.40,11,,,1119.40,1922.50,2647.50,2991.30,3788.00,4529.00,4883.00,5667.00,6348.00,6700.00,7447.00,8163.00,8519.00,9321.00,10032.00,10382.00,11149.00,11852.00,12200.00,12957.00,13644.00,13975.00,14727.00,15419.00,15765.00,16581.00,17322.00,17687.00,"18,380.40"
Evgenij Pop Acev,MKD,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18383.40,12,,,1116.50,1913.00,2640.80,2986.30,3781.00,,4882.00,5657.00,6344.00,6695.00,7445.00,8173.00,8525.00,9325.00,10035.00,10393.00,11156.00,11858.00,12199.00,12959.00,13646.00,13981.00,14724.00,15432.00,15773.00,16579.00,17321.00,17684.00,"18,383.40"
Allan Do Carmo,BRA,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18415.70,13,,,1126.80,1925.30,2652.10,3001.70,3792.00,4530.00,4888.00,5673.00,6351.00,6702.00,7444.00,8167.00,8525.00,9320.00,10031.00,10380.00,11147.00,11845.00,12194.00,12954.00,13620.00,13964.00,14718.00,15413.00,15753.00,16528.00,17285.00,17665.00,"18,415.70"
Santiago Enderica,ECU,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18534.80,14,,,1127.00,1927.00,2650.80,3000.20,3794.00,4533.00,4885.00,5673.00,6356.00,6703.00,7450.00,8173.00,8526.00,9322.00,10035.00,10383.00,11149.00,11855.00,12199.00,12956.00,13642.00,13971.00,14720.00,15426.00,15777.00,16618.00,17398.00,17783.00,"18,534.80"
Yohsuke Miyamoto,JPN,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18692.10,15,,,1119.10,1927.00,2651.00,2998.00,3791.00,4531.00,4886.00,5670.00,6354.00,6697.00,7451.00,8170.00,8525.00,9323.00,10035.00,10393.00,11154.00,11855.00,12208.00,12963.00,13644.00,13990.00,14748.00,15499.00,15860.00,16703.00,17498.00,17912.00,"18,692.10"
Shahar Resman,ISR,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18695.10,16,,786.40,1127.80,1930.50,2660.10,3004.00,3793.00,4537.00,4889.00,5672.00,6356.00,6705.00,7450.00,8169.00,8523.00,9321.00,10029.00,10375.00,11145.00,11846.00,12199.00,12950.00,13625.00,13964.00,14729.00,15431.00,15793.00,16682.00,17500.00,17907.00,"18,695.10"
Yuval Safra,ISR,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18746.50,17,,,1114.00,1915.90,2642.80,2989.90,3778.00,4519.00,4881.00,5657.00,6344.00,6691.00,7436.00,8158.00,8521.00,9317.00,10031.00,10379.00,11142.00,11849.00,12193.00,12954.00,13646.00,13984.00,14839.00,15650.00,16036.00,16866.00,17629.00,17996.00,"18,746.50"
Matej Kozubek,CZE,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18797.00,18,,,1105.80,1901.00,2634.70,2983.00,3776.00,4517.00,4875.00,5649.00,6345.00,6686.00,7444.00,8165.00,8519.00,9315.00,10029.00,10380.00,11150.00,11859.00,12197.00,12972.00,13690.00,14044.00,14857.00,15610.00,15983.00,16849.00,17643.00,18032.00,"18,797.00"
Taiki Nonaka,JPN,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18815.50,19,,,1109.60,1908.20,2640.60,2984.50,3781.00,4523.00,4880.00,5661.00,6348.00,6691.00,7452.00,8170.00,8524.00,9328.00,10035.00,10395.00,11159.00,11858.00,12207.00,12967.00,13693.00,14055.00,14870.00,15629.00,16001.00,16873.00,17661.00,18054.00,"18,815.50"
Guillermo Bertola,ARG,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18826.90,20,,,1124.20,1931.40,2644.60,2995.60,3785.00,4533.00,4883.00,5653.00,6371.00,6703.00,7450.00,8160.00,8513.00,9317.00,10050.00,10389.00,11154.00,11852.00,12197.00,12954.00,13643.00,14044.00,14852.00,15635.00,16004.00,16870.00,17644.00,18025.00,"18,826.90"
Jack Brazier,AUS,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,18995.00,21,,,1119.00,1911.00,2646.50,2991.90,3782.00,4523.00,4882.00,5659.00,6353.00,6699.00,7444.00,8171.00,8525.00,9316.00,10032.00,10383.00,11151.00,11854.00,12200.00,12961.00,13686.00,14047.00,14890.00,15678.00,16082.00,16915.00,17746.00,18168.00,"18,995.00"
Victor Colonese,BRA,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,19634.20,22,,,1110.10,1910.00,2644.20,2986.40,3778.00,,4878.00,5654.00,6348.00,6694.00,7438.00,8164.00,8520.00,9323.00,10028.00,10385.00,11153.00,11860.00,12202.00,12967.00,13763.00,14193.00,15172.00,16036.00,16475.00,17417.00,18326.00,18771.00,"19,634.20"
Haythem Abdelkhalek,TUN,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,20570.70,23,,,1105.10,1908.60,2638.60,2984.30,3782.00,4523.00,4889.00,5687.00,6437.00,6821.00,7713.00,8506.00,8897.00,9786.00,10607.00,11016.00,11912.00,12749.00,13165.00,14077.00,14906.00,15306.00,16243.00,17093.00,17530.00,18483.00,19323.00,19749.00,"20,570.70"
Saleh Mohammad,SYR,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,20828.20,24,,,1121.70,1923.90,2648.50,2994.30,3797.00,4535.00,4891.00,5679.00,6358.00,6706.00,7471.00,8245.00,8645.00,9533.00,10335.00,10781.00,11714.00,12585.00,13028.00,14003.00,14880.00,15321.00,16331.00,17215.00,17645.00,18582.00,19464.00,19930.00,"20,828.20"
Kenessary Kenenbayev,KAZ,07/21/2017,FINA World Championships,"Budapest, HUN",25,NW,Neutral,28,20997.50,25,,,1121.50,1921.50,2642.70,2994.90,3787.00,4528.00,4879.00,5679.00,6450.00,6841.00,7723.00,8558.00,8969.00,9883.00,10719.00,11135.00,12088.00,12954.00,13384.00,14377.00,15245.00,15666.00,16604.00,17466.00,17896.00,18845.00,19724.00,20144.00,"20,997.50"
end,,,2017_07_21_Budapest_25km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,6971.10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,ITA,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,6973.70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hau-Li Fan,CAN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,6977.40,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,6977.70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,6978.50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,GER,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,6979.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Villarinho,BRA,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7009.20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Weinberger,CAN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7009.20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,GER,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7011.30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,CAN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7012.30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,AUS,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7013.70,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7028.60,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,JPN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7030.90,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Deegan,AUS,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7034.40,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Billiau,BEL,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7038.60,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,BRA,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7061.10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremias Munoz,ARG,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7404.60,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Belanger,CAN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,7592.80,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Eric Salinas,MEX,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,8023.30,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Chatelain-Laflamme,CAN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,8101.50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Lortie,CAN,07/27/2017,FINA World Cup,"Roberval, CAN",10,NW,Neutral,27,8352.80,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2017_07_27_Roberval_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22763.10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippe Guertin,CAN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22767.90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22770.30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,CAN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22778.60,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,GER,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22778.90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22800.20,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22960.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,FRA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,22988.30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Venturi,ITA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,23143.20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,23655.10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,24092.50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,24326.10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Billiau,BEL,07/29/2017,FINA Grand Prix,"Roberval, CAN",32,NW,Neutral,13,25229.00,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2017_07_29_Roberval_32km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristof Rasovszky,HUN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7098.08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Vanelli,ITA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7101.06,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Do Carmo,BRA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7105.02,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simone Ruffini,ITA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7105.27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soren Dellef Meissner,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7106.41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Waschburger,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7106.70,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Reichert,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7108.22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasunari Hirai,JPN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7113.01,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Safra,ISR,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7118.45,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Huitenga,AUS,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7118.82,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Ponte,BRA,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7128.32,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7132.07,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7132.45,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Deegan,AUS,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7135.98,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Masse-Savard,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7154.44,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Muffels,GER,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7265.09,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7410.99,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremias Munoz,ARG,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7675.09,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Belanger,CAN,08/12/2017,FINA World Cup,"Lac Megantic, CAN",10,NW,Neutral,21,7776.23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
end,,,2017_08_12_LacMegantic_10km_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Studzinski,GER,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18914.00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18915.00,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo Bertola,ARG,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18916.00,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18918.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18922.00,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Desharnais,CAN,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18924.00,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,18995.00,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Venturi,ITA,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,19160.00,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edouard Lehoux,FRA,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,19295.00,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,19333.00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,08/19/2017,FINA Grand Prix,"Ohrid Lake, MKD",30,NW,Neutral,15,19942.00,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
