athlete_name,country,status,dob
Galymzhan Balabek,KAZ,Active,
Gaspar Andrade Budino,ESP,Active,
Gavin Akbar Dharmawan,INA,Active,
Gergely Gyurta,HUN,Active,
Gong Cheng,CHN,Active,
Gordon John Mason,GBR,Active,
Gregorio Paltrinieri,ITA,Active,
Guillem Pujol,ESP,Active,
Guillermo Bertola,ARG,Active,
Hao Han Wang,CHN,Active,
Hau-Li Fan,CAN,Active,
Hayden Paul Cotter,AUS,Active,
Ho Yin Kwan,HKG,Active,
Hugo Saillard,FRA,Active,
Ido Gal,ISR,Active,
Igor Chervynskiy,UKR,Active,
Ivan Enderica Ochoa,ECU,Active,
Ivan Fratic,SVK,Active,
Jack Brazier,AUS,Active,
Jack Burnell,GBR,Retired,
Jaehoo Cho,KOR,Active,
Jaehun Park,KOR,Active,
James Otley-Doe,AUS,Active,
Jarrod Poort,AUS,Active,
Jean-Baptiste Clusman,FRA,Active,
Jeremias Munoz,ARG,Active,
Jia Hu,CHN,Active,
Jiabao An,CHN,Active,
Joao Nunes De Oliveira Frias Duarte,ANG,Active,
Joaquin Moreno,ARG,Active,
Jon Thomas Mckay,CAN,Active,
Jordan Wilimovsky,USA,Retired,
Jose Ignacio Ravagna,ARG,Active,
Jose Paula Carvalho,POR,Active,
Jules Wallart,FRA,Active,
Junbohang Zhao,CHN,Active,
Ka Lung Kwan,HKG,Active,
Kai-Wen Tseng,TPE,Active,
Kaito Watanuki,JPN,Active,
Katelnikof Alexander Dawson,CAN,Active,
Kenessary Kenenbayev,KAZ,Active,
Kirill Abrosimov,RUS,Active,
Kristof Monori,HUN,Active,
Kristof Rasovszky,HUN,Active,
Krzysztof Pielowski,POL,Active,
Lachlan Colquhoun,AUS,Active,
Lars Bottelier,NED,Active,
Leo Ouabdesselam,FRA,Active,
Lev Cherepanov,KAZ,Active,
Levente Selmeci,HUN,Active,
Lijun Zu,CHN,Active,
Logan Fontaine,FRA,Active,
Logan Vanhuys,BEL,Active,
Lok Yin Law,HKG,Active,
Long Cheng,CHN,Active,
Lu Liu,CHN,Active,
Luciano Segurado,ARG,Active,
Luiz Gustavo Foratto G. De Barros,BRA,Active,
Marc-Antoine Olivier,FRA,Active,
Marcel Schouten,NED,Active,
Marcello Guidi,ITA,Active,
Marcus Herwig,GER,Active,
Marin Debril,FRA,Active,
Mario Sanzullo,ITA,Active,
Mark Papp,HUN,Active,
Marwan Elamrawy,EGY,Active,
Matan Roditi,ISR,Active,
Matej Kozubek,CZE,Active,
Mathieu Mathy Ben Rahou,MAR,Active,
Matias Aguirre,ARG,Active,
Matias Diaz Hernandez,ARG,Active,
Matteo Furlan,ITA,Active,
Matthew Scott,NZL,Active,
Maxime Gagnon,CAN,Active,
Michael Brinegar,USA,Active,
Michael Mcglynn,RSA,Active,
Milan Bukovics,HUN,Active,
Milan Fabian,HUN,Active,
Milan Julianusz Imre,HUN,Active,
Mingyu Lu,CHN,Active,
