athlete_name,country,status,dob
Valentin Jean-Claude Fernand Duteil,FRA,Active,
Joseph Deighan,GBR,Active,
Thomas Chocolaty,CZE,Active,
Thomas Peciar,SVK,Active,
Katic Dusan,SRB,Active,
Konstantinos Zachariadis,GRE,Active,
Ratkov Nikola,SRB,Active,
Boviez Santiago Facundo,ARG,Active,
Ruben Rees,AUS,Active,
Liam Clawson-Honeyman,CAN,Active,
Alexander Grätz,GER,Active,
Paul Pleifer,GER,Active,
Moritz Bockes,GER,Active,
Til Schmidt,GER,Active,
Noah Lerch,GER,Active,
Konrad Kozlowski,POL,Active,
Harry Hewitt,GBR,Active,
Dmytro Boiko,UKR,Active,
James Raw,GBR,Active,
Pedro Farias,BRA,Active,
Yonatan Ahdut,ISR,Active,
Piotr Wozniak,POL,Active,
Hunor Kovacs-Seres,HUN,Active,
Angel De Oña Ramirez,ESP,Active,
Kuu Motoyama,JPN,Active,
Maor Goralnik,ISR,Active,
Mate Hartmann,HUN,Active,
Robbe Dilissen,AUS,Active,
Esteban Enderica Salgado,ECU,Active,
Kai Graeme Edwards,AUS,Active,
Davide Marchello,ITA,Active,
Nathan Hughes,GBR,Active,
Adib Khalil,LBN,Active,
Michail Diasitis,GRE,Active,
Cristian Vidal,CUB,Active,
Diego Serida,PER,Active,
Allan Lopes Mamedio,BRA,Active,
Nector Segovia Arias,ESA,Active,
Merlin Boursier,FRA,Active,
Dimitrios Kaitatzis,GRE,Active,
Jose Saravia Reyes,GUA,Active,
David Marroquin,GUA,Active,
Tamir Romam,ISR,Active,
Omer Hava,ISR,Active,
Yohai Persman,ISR,Active,
Ilay Paz,ISR,Active,
Itay Arad,ISR,Active,
Yotam Eyal,ISR,Active,
Salah Aboamsha,ISR,Active,
Mishel Agronov,ISR,Active,
Seon Voronkov,ISR,Active,
Robert William Bonsall,AUS,Active,
Tamir Romam,ISR,Active,
Omer Hava,ISR,Active,
Yohai Persman,ISR,Active,
Ilay Paz,ISR,Active,
Itay Arad,ISR,Active,
Yotam Eyal,ISR,Active,
Salah Aboamsha,ISR,Active,
Mishel Agronov,ISR,Active,
Seon Voronkov,ISR,Active,
Robert William Bonsall,AUS,Active,
Tal Judah,ISR,Active,
Ioannis Skaris,GRE,Active,
Bernardo Gavioli,BRA,Active,
Matheus Melecchi,BRA,Active,
Ahmed Aly,EGY,Active,
Aly Hany Elsagheer,EGY,Active,
Moataz Hassan,EGY,Active,
Youssef Magdy,EGY,Active,
Nikita Fedotov,KAZ,Active,
Daniil Androssov,KAZ,Active,
Petar Stoychev,BUL,Retired,
Mihajlo Ristovski,MKD,Active,
Rafael Perez,ARG,Active,
Marcos Diaz,DOM,Active,
Andrés Solioz,ARG,Active,
Juan Pablo Espíndola,ARG,Active,
Juan Manuel Cordonier,ARG,Active,
Sebastiano Galessio,ITA,Active,
Ivan Puskovitch,USA,Active,
Federico Tamborrino,ITA,Active,
Carlos Garach,ESP,Active,
Lorenzo Cinquepalmi,ITA,Active,
Nik Peterlin,SLO,Active,
Giuseppe Di Piazza,ITA,Active,
Stefano Ghisolfo,ITA,Active,
Keith Sin Chin Ting,HKG,Active,
Tommaso Goglia,ITA,Active,
Andrea Badagliacco,ITA,Active,
Samuel Cekan,SVK,Active,
Tomas Pavelka,SVK,Active,
Gabriel Cutrupi,ITA,Active,
Ivan Cetina,CRO,Active,
Filippo Schifano,ITA,Active,
Jakub Gabriel,SVK,Active,
Jan Carda,CZE,Active,
Efe Isler,TUR,Active,
Denis O'Brien,IRL,Active,
Ronan Fahey,IRL,Active,
Saleh Mohammad,SYR,Active,
Mostafa Tarek,EGY,Active,
Luke Ellis,USA,Active,
Andrea D'Agostino,ITA,Active,
Luca Karl,AUT,Active,
Daniel Nemec,CZE,Active,
Thiago Ruffini,BRA,Active,
Vladimir Dyatchin,RUS,Retired,
Yuriy Kudinov,RUS,Retired,
Evgeny Koshkarov,RUS,Retired,
Mark Warkentin,USA,Retired,
Christian Hein,GER,Retired,
Fran Crippen,USA,Retired,
Maarten Van Der Weijden,NED,Retired,
Stéphane Gomez,FRA,Retired,
Daniel Katzir,ISR,Retired,
Luiz Lima,BRA,Retired,
Mohamed Monir El Zanaty,EGY,Retired,
John Flanagan,USA,Retired,
Pavel Vetkalov,RUS,Retired,
Daniel De Marco,USA,Retired,
Mazen Mohamed Aziz,EGY,Retired,
Glauco Oliveira Rangel,BRA,Retired,
Mohamed Gadallh,EGY,Retired,
Jose Belarmino De Souza Filho,BRA,Retired,
Raul Porto De Andrade Junior,BRA,Retired,
Israel Peressin Murat,BRA,Retired,
Fernando Dabdab,BRA,Retired,
Ricardo Kojima,BRA,Retired,
Gabriel Ferreira Curti,BRA,Retired,
Wellington Mota Silva,BRA,Retired,
Tiago Albert Schulz,BRA,Retired,
Bruno Yamamoto,BRA,Retired,
Tihomir Ivanchev,BUL,Retired,
Rodolfo Valenti,ITA,Retired,
Thomas Lurz,GER,Retired,
Francisco Jose Hervas Jodar,ESP,Retired,
Alex Schelvis,NED,Retired,
David Browne,AUS,Retired,
Luca Ferretti,ITA,Retired,
Ky Hurst,AUS,Retired,
Csaba Gercsak,HUN,Retired,
Ricardo Monasterio,VEN,Retired,
Artem Podyakov,RUS,Retired,
Scott Kaufmann,USA,Retired,
Jarrod Ballem,CAN,Retired,
Jakub Fichtl,CZE,Retired,
Diego Nogueira Montero,ESP,Retired,
Mario Pereira,BRA,Retired,
Kane Radford,NZL,Retired,
Balazs Gercsak,HUN,Retired,
Hu Di,CHN,Retired,
Kurt Niehaus,CRC,Retired,
Roberto Penailillo Garcia,CHI,Retired,
Kamel Emilio Tejeda Contreras,DOM,Retired,
Seraj Mouloud,LBA,Retired,
Brian Ryckeman,BEL,Retired,
Alan Bircher,GBR,Retired,
Rostislav Vitek,CZE,Retired,
Josh Santacaterina,AUS,Retired,
Valerio Cleri,ITA,Retired,
Andrea Righi,ITA,Retired,
David Creel,CAN,Retired,
Gilles Rondy,FRA,Retired,
Yinhan Li,CHN,Retired,
Luis Ricardo Escobar Torres,MEX,Retired,
Fabio Alves Lima,BRA,Retired,
Manuel Chiu,MEX,Retired,
Philippe Dubreuil,CAN,Retired,
Oleksandr Bezuglyy,UKR,Retired,
Gabriel Cayetano Enderica Ochoa,ECU,Retired,
Marco Formentini,ITA,Retired,
Andrea Volpini,ITA,Retired,
Anton Sanachev,RUS,Retired,
Sebastiaan Reynen,NED,Retired,
Brendan Capell,AUS,Retired,
Loic Branda,FRA,Retired,
Julien Sauvage,FRA,Retired,
David Genet,FRA,Retired,
Rok Kerin,SLO,Retired,
Simon Tobin­-Daignault,CAN,Retired,
Adel Elbehiry,EGY,Retired,
Fouad Shaikh Bakri,SYR,Retired,
Mohammed Jassim Alghareeb,KSA,Retired,
Arseniy Lavrentyev,POR,Retired,
Carlos Pavao,BRA,Retired,
Fernando Costa,POR,Retired,
Daniel Viegas,POR,Retired,
Aljaz Ojstersek,SLO,Retired,
Noa Sakamoto,USA,Retired,
Jonatan Florencio,ESP,Retired,
Shaun Dias,RSA,Retired,
Daniel Molina,ESP,Retired,
Simon Panting,GBR,Retired,
Rolando Salas,VEN,Retired,
Richard Charlesworth,GBR,Retired,
Kvetoslav Svoboda,CZE,Retired,
James Faure,RSA,Retired,
Luca Valeriani,ITA,Retired,
Marko Rafaj,CRO,Retired,
Jamie Forrest,GBR,Retired,
James Leitch,GBR,Retired,
Oliver Ptak,HUN,Retired,
Claudio Gargaro,ITA,Retired,
Filippo Pupulin,ITA,Retired,
Gabriel Raul Villagoiz,ARG,Retired,
Marc-André Leclerc,CAN,Retired,
Martin Andres Clement,ARG,Retired,
Libor Smolka,CZE,Retired,
Balazs Sasvari,HUN,Retired,
Miha Kern,SLO,Retired,
Johan Van Velthnyzen,USA,Retired,
Janos Demeter,SRB,Retired,
Leardo Callone,ITA,Retired,
Igor Dimovski,MKD,Retired,
Ilija Stojanovski,MKD,Retired,
Mathieu Leblanc,CAN,Retired,
Jérôme Couture,CAN,Retired,
Daniil Serebrennikov,RUS,Retired,
Nicola Bolzonello,ITA,Retired,
Mohamed El Znaty,EGY,Retired,
Wolfgang Mairinger,AUT,Retired,
Georgios Charcharis,GRE,Retired,
Ivan De Jesus Lopez Ramos,MEX,Retired,
Marcelo Romanelli Soares,BRA,Retired,
Charlton Lawson,RSA,Retired,
Dmitry Solovyev,RUS,Retired,
Ling Tin Yu,HKG,Retired,
Wei Liu,CHN,Retired,
Steven Roof,USA,Retired,
Shi Jing,CHN,Retired,
Enjian Zhang,CHN,Retired,
Wing Chung Tam,HKG,Retired,
Ho Yat Winson Lee,HKG,Retired,
David Meca Medina,ESP,Retired,
Ling Shi,CHN,Retired,
Di Hurst,CHN,Retired,
Rodrigo Elorza Vasquez,MEX,Retired,
Victor Pires Simoes,BRA,Retired,
Ioannis Mavrogenis,GRE,Active,
Nikola Simic,SRB,Active,
Andrej Karaskakovski,MKD,Active,
Tianchen Lan,CHN,Active,
Adrian Gustavo Ywanaga Papi,PER,Active,
Joshua Ashley,RSA,Active,
Christian Bayo,PUR,Active,
Junho Sung,KOR,Active,
Nikita Kornilov,UZB,Active,
Fernando Ponce,GUA,Active,
Benjamincote,CAN,Active,
Kaitotsujimori,JPN,Active,
Riku Ezawa,JPN,Active,
Sergii Frolov,UKR,Active,
Santiago Gutierrez,MEX,Active,
Prashans Manjunath Hiremagalur,IND,Active,
Army Pal,IND,Active,
Bartosz Kapala,POL,Active,
Jerzy Laris,POL,Active,
Yael Balz,GER,Active,
Noach Lerch,GER,Active,
Oliver Toth,HUN,Active,
Tommasso Griffante,ITA,Active,
Maximiliano Strehlke Delgado,MEX,Active,
Adam Rak,CZE,Active,
Tadeas Neliba,CZE,Active,
Jakob Feuchter,AUT,Active,
Richard Urban,SLO,Active,
Isak Vikstrom,SWE,Active,
Petar Cekov,MKD,Active,
Mihail Velkov,MKD,Active,
Gabriel Manteufel,USA,Active,
Luke Whitlock,USA,Active,
Mortiz Bockes,GER,Active,
Ryan Erisman,USA,Active,
Carlos Ortiz Martinez,ESP,Active,
Mauro Bobanovic,CRO,Active,
Rodolfo Javier Falcón Mojarrieta,CUB,Active,
Edhy Patricio Vargas Ronquillo,CHI,Active,
Juan Diego Nunez Barreras,DOM,Active,
Robert George Thorpe,AUS,Active,
Daniel Jervis,GBR,Active,
Ethan Parker,FRA,Active,
Emre Sarp Zeytinoglu,TUR,Active,
Christophe Maleau,FRA,Active,
Muhammed Eyup Oya,TUR,Active,
Angelos Christodoulou,GRE,Active,
Mevlut Efe Guler,TUR,Active,
Boran Atasoy,TUR,Active,
Abdulaziz Oruc,TUR,Active,
Lucas Ezequiel Alba,ARG,Active,
Henrique Figueirinha,BRA,Active,
Ratthawit Thammananthachote,THA,Active,
Jaan Pasko,EST,Active,
Sebeom Oh,KOR,Active,
Marin Mogic,CRO,Active,
Diego Dulieu,HON,Active,
Peixin Liu,CHN,Active,
Ilias El Fallaki,MAR,Active,
Navaphat Wongcharoen,THA,Active,
Rayven De Los Santos,DOM,Active,
Sheldon Jon Heng Tan,SGP,Active,
